NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9957,-99.9957,1.21E+00,1.89E+01,8.98E+00,2.77E+01
3,99.9968,-93.3282,1.31E+00,1.92E+01,9.32E+00,2.81E+01
4,99.9983,-86.6611,1.40E+00,1.91E+01,9.69E+00,2.80E+01
5,100,-79.9943,1.49E+00,1.87E+01,1.01E+01,2.76E+01
6,100.002,-73.3278,1.57E+00,1.80E+01,1.05E+01,2.68E+01
7,100.004,-66.6616,1.64E+00,1.72E+01,1.09E+01,2.57E+01
8,100.007,-59.9955,1.71E+00,1.63E+01,1.13E+01,2.45E+01
9,100.009,-53.3294,1.77E+00,1.54E+01,1.17E+01,2.30E+01
10,100.011,-46.6635,1.83E+00,1.48E+01,1.21E+01,2.15E+01
11,100.013,-39.9975,1.87E+00,1.44E+01,1.24E+01,1.99E+01
12,100.015,-33.3315,1.91E+00,1.42E+01,1.28E+01,1.81E+01
13,100.017,-26.6654,1.94E+00,1.42E+01,1.30E+01,1.63E+01
14,100.018,-19.9992,1.97E+00,1.44E+01,1.33E+01,1.45E+01
15,100.018,-13.333,1.98E+00,1.47E+01,1.35E+01,1.27E+01
16,100.018,-6.66685,1.98E+00,1.49E+01,1.37E+01,1.10E+01
17,100.018,-0.000714405,1.97E+00,1.52E+01,1.40E+01,9.39E+00
18,100.017,6.66534,1.96E+00,1.54E+01,1.44E+01,7.94E+00
19,100.016,13.3313,1.93E+00,1.56E+01,1.49E+01,6.62E+00
20,100.015,19.9972,1.90E+00,1.57E+01,1.55E+01,5.44E+00
21,100.013,26.6631,1.87E+00,1.57E+01,1.63E+01,4.43E+00
22,100.011,33.3288,1.82E+00,1.58E+01,1.71E+01,3.65E+00
23,100.009,39.9946,1.77E+00,1.58E+01,1.81E+01,3.17E+00
24,100.006,46.6604,1.72E+00,1.57E+01,1.92E+01,3.08E+00
25,100.004,53.3261,1.65E+00,1.56E+01,2.04E+01,3.34E+00
26,100.002,59.992,1.59E+00,1.54E+01,2.16E+01,3.83E+00
27,99.9994,66.6581,1.52E+00,1.52E+01,2.27E+01,4.43E+00
28,99.9974,73.3243,1.44E+00,1.50E+01,2.37E+01,5.04E+00
29,99.9955,79.9908,1.36E+00,1.47E+01,2.45E+01,5.62E+00
30,99.994,86.6576,1.27E+00,1.44E+01,2.49E+01,6.12E+00
31,99.9929,93.3247,1.18E+00,1.40E+01,2.49E+01,6.53E+00
32,99.9921,99.9921,1.09E+00,1.36E+01,2.47E+01,6.83E+00
33,93.3247,99.9929,1.18E+00,1.40E+01,2.50E+01,6.52E+00
34,86.6575,99.994,1.27E+00,1.43E+01,2.50E+01,6.10E+00
35,79.9907,99.9955,1.36E+00,1.46E+01,2.46E+01,5.59E+00
36,73.3242,99.9973,1.44E+00,1.49E+01,2.39E+01,5.01E+00
37,66.658,99.9994,1.51E+00,1.52E+01,2.29E+01,4.40E+00
38,59.992,100.002,1.58E+00,1.53E+01,2.18E+01,3.81E+00
39,53.3261,100.004,1.65E+00,1.55E+01,2.06E+01,3.33E+00
40,46.6603,100.006,1.71E+00,1.56E+01,1.94E+01,3.09E+00
41,39.9946,100.009,1.77E+00,1.56E+01,1.83E+01,3.20E+00
42,33.3288,100.011,1.82E+00,1.56E+01,1.73E+01,3.70E+00
43,26.6631,100.013,1.86E+00,1.56E+01,1.64E+01,4.50E+00
44,19.9973,100.014,1.90E+00,1.55E+01,1.57E+01,5.53E+00
45,13.3314,100.016,1.93E+00,1.54E+01,1.50E+01,6.71E+00
46,6.66539,100.017,1.96E+00,1.52E+01,1.45E+01,8.03E+00
47,-0.000656181,100.018,1.97E+00,1.50E+01,1.41E+01,9.48E+00
48,-6.66678,100.018,1.98E+00,1.47E+01,1.38E+01,1.11E+01
49,-13.3329,100.018,1.98E+00,1.44E+01,1.36E+01,1.28E+01
