NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.983,-99.983,6.26E-01,1.04E+02,3.00E+01,1.37E+02
3,99.9854,-93.3113,7.67E-01,1.10E+02,3.18E+01,1.39E+02
4,99.9893,-86.642,8.82E-01,1.13E+02,3.32E+01,1.41E+02
5,99.9939,-79.9743,9.78E-01,1.14E+02,3.47E+01,1.40E+02
6,99.9991,-73.308,1.06E+00,1.12E+02,3.64E+01,1.37E+02
7,100.004,-66.6427,1.13E+00,1.08E+02,3.84E+01,1.32E+02
8,100.01,-59.9781,1.18E+00,1.03E+02,4.07E+01,1.26E+02
9,100.014,-53.3138,1.23E+00,9.74E+01,4.31E+01,1.20E+02
10,100.019,-46.6498,1.28E+00,9.17E+01,4.58E+01,1.14E+02
11,100.023,-39.9858,1.31E+00,8.63E+01,4.86E+01,1.07E+02
12,100.027,-33.3217,1.34E+00,8.14E+01,5.15E+01,1.01E+02
13,100.029,-26.6577,1.37E+00,7.69E+01,5.46E+01,9.45E+01
14,100.032,-19.9935,1.39E+00,7.30E+01,5.78E+01,8.83E+01
15,100.033,-13.3292,1.40E+00,6.96E+01,6.12E+01,8.21E+01
16,100.034,-6.66501,1.41E+00,6.66E+01,6.48E+01,7.59E+01
17,100.034,-0.000731869,1.41E+00,6.40E+01,6.85E+01,6.97E+01
18,100.034,6.66353,1.41E+00,6.18E+01,7.25E+01,6.35E+01
19,100.032,13.3277,1.40E+00,5.97E+01,7.68E+01,5.73E+01
20,100.03,19.9919,1.38E+00,5.80E+01,8.15E+01,5.10E+01
21,100.028,26.656,1.36E+00,5.64E+01,8.65E+01,4.47E+01
22,100.024,33.32,1.33E+00,5.51E+01,9.20E+01,3.83E+01
23,100.021,39.9839,1.29E+00,5.40E+01,9.78E+01,3.20E+01
24,100.016,46.6478,1.25E+00,5.32E+01,1.04E+02,2.57E+01
25,100.011,53.3118,1.20E+00,5.25E+01,1.11E+02,2.00E+01
26,100.006,59.9759,1.15E+00,5.21E+01,1.17E+02,1.55E+01
27,99.9999,66.6405,1.08E+00,5.18E+01,1.23E+02,1.39E+01
28,99.9943,73.3057,1.00E+00,5.18E+01,1.28E+02,1.58E+01
29,99.989,79.9718,9.10E-01,5.18E+01,1.31E+02,2.04E+01
30,99.9845,86.6394,8.03E-01,5.18E+01,1.30E+02,2.59E+01
31,99.9811,93.3085,6.79E-01,5.12E+01,1.27E+02,3.09E+01
32,99.9797,99.9796,5.34E-01,4.90E+01,1.23E+02,3.41E+01
33,93.3084,99.981,6.78E-01,5.12E+01,1.28E+02,3.09E+01
34,86.6392,99.9842,8.03E-01,5.17E+01,1.32E+02,2.60E+01
35,79.9715,99.9887,9.09E-01,5.17E+01,1.32E+02,2.06E+01
36,73.3052,99.9939,1.00E+00,5.16E+01,1.29E+02,1.60E+01
37,66.6399,99.9995,1.08E+00,5.16E+01,1.25E+02,1.40E+01
38,59.9753,100.005,1.14E+00,5.18E+01,1.19E+02,1.54E+01
39,53.3112,100.011,1.20E+00,5.21E+01,1.12E+02,1.98E+01
40,46.6472,100.016,1.25E+00,5.27E+01,1.06E+02,2.55E+01
41,39.9833,100.02,1.29E+00,5.35E+01,9.93E+01,3.18E+01
