NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9963,-99.9963,2.67E-01,2.51E+01,1.02E+01,5.04E+01
3,99.9978,-93.3279,3.40E-01,2.71E+01,1.07E+01,5.07E+01
4,99.9998,-86.6602,4.03E-01,2.86E+01,1.09E+01,5.10E+01
5,100.002,-79.993,4.57E-01,2.90E+01,1.10E+01,5.07E+01
6,100.004,-73.3262,5.03E-01,2.85E+01,1.12E+01,4.98E+01
7,100.006,-66.6598,5.42E-01,2.73E+01,1.15E+01,4.84E+01
8,100.009,-59.9936,5.76E-01,2.56E+01,1.19E+01,4.66E+01
9,100.011,-53.3276,6.05E-01,2.38E+01,1.25E+01,4.46E+01
10,100.012,-46.6618,6.30E-01,2.19E+01,1.32E+01,4.24E+01
11,100.014,-39.9959,6.52E-01,2.02E+01,1.39E+01,4.01E+01
12,100.015,-33.33,6.70E-01,1.88E+01,1.48E+01,3.76E+01
13,100.017,-26.6642,6.84E-01,1.76E+01,1.57E+01,3.51E+01
14,100.017,-19.9982,6.94E-01,1.67E+01,1.66E+01,3.24E+01
15,100.018,-13.3323,6.99E-01,1.60E+01,1.76E+01,2.96E+01
16,100.018,-6.66636,7.00E-01,1.54E+01,1.87E+01,2.68E+01
17,100.018,-0.00044582,6.97E-01,1.50E+01,2.00E+01,2.39E+01
18,100.017,6.66544,6.91E-01,1.47E+01,2.13E+01,2.11E+01
19,100.016,13.3313,6.80E-01,1.45E+01,2.28E+01,1.83E+01
20,100.015,19.9971,6.66E-01,1.44E+01,2.45E+01,1.55E+01
21,100.014,26.6629,6.49E-01,1.43E+01,2.63E+01,1.28E+01
22,100.013,33.3287,6.28E-01,1.44E+01,2.82E+01,1.01E+01
23,100.011,39.9945,6.04E-01,1.45E+01,3.03E+01,7.71E+00
24,100.009,46.6604,5.76E-01,1.48E+01,3.24E+01,6.03E+00
25,100.007,53.3262,5.44E-01,1.52E+01,3.46E+01,5.56E+00
26,100.005,59.9922,5.07E-01,1.56E+01,3.67E+01,6.46E+00
27,100.002,66.6583,4.66E-01,1.60E+01,3.85E+01,8.36E+00
28,100,73.3247,4.18E-01,1.65E+01,3.99E+01,1.06E+01
29,99.9978,79.9914,3.65E-01,1.68E+01,4.05E+01,1.27E+01
30,99.9959,86.6584,3.06E-01,1.68E+01,4.02E+01,1.42E+01
31,99.9945,93.3258,2.42E-01,1.62E+01,3.89E+01,1.48E+01
32,99.9937,99.9937,1.74E-01,1.46E+01,3.72E+01,1.42E+01
33,93.3258,99.9944,2.41E-01,1.62E+01,3.89E+01,1.48E+01
34,86.6584,99.9959,3.05E-01,1.68E+01,4.03E+01,1.42E+01
35,79.9913,99.9978,3.64E-01,1.68E+01,4.08E+01,1.26E+01
36,73.3247,99.9999,4.17E-01,1.65E+01,4.02E+01,1.05E+01
37,66.6583,100.002,4.65E-01,1.60E+01,3.89E+01,8.29E+00
38,59.9921,100.004,5.06E-01,1.56E+01,3.71E+01,6.41E+00
39,53.3261,100.007,5.43E-01,1.51E+01,3.51E+01,5.56E+00
40,46.6603,100.009,5.75E-01,1.48E+01,3.29E+01,6.10E+00
41,39.9945,100.011,6.03E-01,1.45E+01,3.07E+01,7.84E+00
42,33.3286,100.013,6.27E-01,1.43E+01,2.86E+01,1.03E+01
43,26.6629,100.014,6.47E-01,1.42E+01,2.67E+01,1.29E+01
44,19.997,100.015,6.65E-01,1.42E+01,2.48E+01,1.57E+01
45,13.3312,100.016,6.79E-01,1.42E+01,2.32E+01,1.85E+01
46,6.66536,100.017,6.89E-01,1.44E+01,2.16E+01,2.13E+01
47,-0.000529384,100.018,6.96E-01,1.47E+01,2.02E+01,2.41E+01
48,-6.66645,100.018,6.99E-01,1.51E+01,1.90E+01,2.69E+01
49,-13.3323,100.018,6.98E-01,1.56E+01,1.79E+01,2.97E+01
50,-19.9983,100.017,6.92E-01,1.63E+01,1.68E+01,3.24E+01
51,-26.6643,100.017,6.83E-01,1.72E+01,1.59E+01,3.51E+01
52,-33.3301,100.016,6.69E-01,1.84E+01,1.49E+01,3.77E+01
53,-39.996,100.014,6.51E-01,1.98E+01,1.41E+01,4.01E+01
54,-46.6619,100.013,6.29E-01,2.16E+01,1.33E+01,4.24E+01
55,-53.3277,100.011,6.04E-01,2.34E+01,1.26E+01,4.45E+01
56,-59.9937,100.009,5.75E-01,2.54E+01,1.20E+01,4.65E+01
57,-66.6599,100.006,5.41E-01,2.71E+01,1.16E+01,4.83E+01
58,-73.3262,100.004,5.02E-01,2.84E+01,1.13E+01,4.97E+01
59,-79.993,100.002,4.56E-01,2.89E+01,1.11E+01,5.07E+01
60,-86.6602,99.9998,4.03E-01,2.85E+01,1.10E+01,5.10E+01
61,-93.3279,99.9978,3.40E-01,2.70E+01,1.08E+01,5.08E+01
62,-99.9963,99.9963,2.67E-01,2.51E+01,1.02E+01,5.05E+01
63,-99.9978,93.3279,3.40E-01,2.72E+01,1.08E+01,5.08E+01
64,-99.9997,86.6602,4.03E-01,2.87E+01,1.09E+01,5.11E+01
65,-100.002,79.9929,4.57E-01,2.92E+01,1.11E+01,5.08E+01
66,-100.004,73.3262,5.03E-01,2.87E+01,1.13E+01,4.99E+01
67,-100.006,66.6598,5.42E-01,2.74E+01,1.16E+01,4.84E+01
68,-100.009,59.9936,5.75E-01,2.57E+01,1.20E+01,4.66E+01
69,-100.011,53.3277,6.05E-01,2.38E+01,1.25E+01,4.45E+01
70,-100.012,46.6618,6.30E-01,2.19E+01,1.32E+01,4.23E+01
71,-100.014,39.9959,6.52E-01,2.02E+01,1.40E+01,4.00E+01
72,-100.016,33.33,6.70E-01,1.87E+01,1.48E+01,3.75E+01
73,-100.017,26.6642,6.84E-01,1.76E+01,1.57E+01,3.49E+01
74,-100.017,19.9982,6.93E-01,1.66E+01,1.66E+01,3.22E+01
75,-100.018,13.3323,6.99E-01,1.59E+01,1.76E+01,2.95E+01
76,-100.018,6.66634,7.00E-01,1.54E+01,1.87E+01,2.67E+01
77,-100.018,0.000426826,6.97E-01,1.50E+01,2.00E+01,2.39E+01
78,-100.017,-6.66546,6.90E-01,1.47E+01,2.13E+01,2.11E+01
79,-100.017,-13.3313,6.79E-01,1.45E+01,2.28E+01,1.83E+01
80,-100.015,-19.9971,6.65E-01,1.44E+01,2.45E+01,1.55E+01
81,-100.014,-26.663,6.48E-01,1.44E+01,2.63E+01,1.28E+01
82,-100.013,-33.3287,6.27E-01,1.44E+01,2.83E+01,1.02E+01
83,-100.011,-39.9945,6.03E-01,1.46E+01,3.04E+01,7.77E+00
84,-100.009,-46.6604,5.75E-01,1.49E+01,3.26E+01,6.07E+00
85,-100.007,-53.3262,5.43E-01,1.52E+01,3.49E+01,5.57E+00
86,-100.004,-59.9921,5.06E-01,1.57E+01,3.70E+01,6.45E+00
87,-100.002,-66.6583,4.65E-01,1.61E+01,3.89E+01,8.33E+00
88,-99.9999,-73.3246,4.17E-01,1.65E+01,4.02E+01,1.06E+01
89,-99.9977,-79.9913,3.64E-01,1.68E+01,4.08E+01,1.27E+01
90,-99.9958,-86.6584,3.05E-01,1.68E+01,4.05E+01,1.42E+01
91,-99.9944,-93.3257,2.41E-01,1.63E+01,3.91E+01,1.48E+01
92,-99.9936,-99.9936,1.74E-01,1.47E+01,3.74E+01,1.42E+01
93,-93.3257,-99.9944,2.41E-01,1.62E+01,3.90E+01,1.48E+01
94,-86.6584,-99.9959,3.05E-01,1.68E+01,4.03E+01,1.42E+01
95,-79.9913,-99.9978,3.64E-01,1.68E+01,4.06E+01,1.27E+01
96,-73.3246,-100,4.17E-01,1.65E+01,4.00E+01,1.06E+01
97,-66.6584,-100.002,4.64E-01,1.61E+01,3.86E+01,8.39E+00
98,-59.9922,-100.005,5.06E-01,1.57E+01,3.67E+01,6.47E+00
99,-53.3262,-100.007,5.42E-01,1.52E+01,3.46E+01,5.53E+00
100,-46.6604,-100.009,5.74E-01,1.49E+01,3.24E+01,5.97E+00
101,-39.9946,-100.011,6.02E-01,1.47E+01,3.02E+01,7.62E+00
102,-33.3288,-100.013,6.26E-01,1.45E+01,2.81E+01,9.98E+00
103,-26.663,-100.014,6.47E-01,1.45E+01,2.61E+01,1.26E+01
104,-19.9972,-100.016,6.64E-01,1.46E+01,2.43E+01,1.54E+01
105,-13.3314,-100.017,6.78E-01,1.48E+01,2.26E+01,1.81E+01
106,-6.66554,-100.017,6.89E-01,1.50E+01,2.11E+01,2.09E+01
107,0.000347638,-100.018,6.96E-01,1.54E+01,1.98E+01,2.37E+01
108,6.66626,-100.018,6.99E-01,1.58E+01,1.86E+01,2.65E+01
109,13.3322,-100.018,6.98E-01,1.64E+01,1.75E+01,2.94E+01
110,19.9981,-100.017,6.92E-01,1.71E+01,1.65E+01,3.22E+01
111,26.6641,-100.017,6.82E-01,1.80E+01,1.56E+01,3.49E+01
112,33.3299,-100.015,6.69E-01,1.92E+01,1.47E+01,3.75E+01
113,39.9958,-100.014,6.51E-01,2.06E+01,1.39E+01,4.00E+01
114,46.6617,-100.012,6.29E-01,2.23E+01,1.31E+01,4.24E+01
115,53.3276,-100.01,6.04E-01,2.42E+01,1.25E+01,4.46E+01
116,59.9936,-100.008,5.75E-01,2.60E+01,1.19E+01,4.66E+01
117,66.6597,-100.006,5.41E-01,2.77E+01,1.15E+01,4.84E+01
118,73.3261,-100.004,5.02E-01,2.89E+01,1.12E+01,4.99E+01
119,79.9929,-100.002,4.56E-01,2.93E+01,1.10E+01,5.08E+01
120,86.6602,-99.9997,4.03E-01,2.87E+01,1.09E+01,5.10E+01
121,93.3279,-99.9978,3.40E-01,2.71E+01,1.07E+01,5.07E+01
122,-93.3536,0.000541414,9.85E-01,1.99E+01,2.23E+01,2.12E+01
123,-86.689,0.000639908,1.29E+00,2.35E+01,2.42E+01,1.98E+01
124,-80.0239,0.000724872,1.59E+00,2.65E+01,2.60E+01,1.92E+01
125,-73.3585,0.000795048,1.91E+00,2.92E+01,2.76E+01,1.89E+01
126,-66.6929,0.000841205,2.23E+00,3.21E+01,2.93E+01,1.88E+01
127,-60.0271,0.000851093,2.56E+00,3.52E+01,3.12E+01,1.86E+01
128,-53.3613,0.000797839,2.89E+00,3.91E+01,3.35E+01,1.84E+01
129,-46.6956,0.000649888,3.24E+00,4.40E+01,3.63E+01,1.80E+01
130,-40.0301,0.000337225,3.60E+00,5.05E+01,4.01E+01,1.76E+01
131,-33.365,-0.000229007,3.99E+00,5.99E+01,4.56E+01,1.77E+01
132,-26.7007,-0.00125233,4.40E+00,7.43E+01,5.42E+01,1.94E+01
133,-20.0376,-0.00297709,4.84E+00,9.82E+01,6.93E+01,2.44E+01
134,-13.3761,-0.00597944,5.32E+00,1.48E+02,1.02E+02,3.33E+01
135,-6.70708,-0.00848452,5.81E+00,2.41E+02,1.64E+02,6.27E+01
136,0.000461157,-0.000161327,6.09E+00,3.00E+02,2.03E+02,8.66E+01
137,6.70752,0.00832498,5.81E+00,2.41E+02,1.63E+02,6.28E+01
138,13.3761,0.00599976,5.31E+00,1.48E+02,1.01E+02,3.40E+01
139,20.0373,0.00308047,4.83E+00,9.90E+01,6.93E+01,2.49E+01
140,26.7003,0.00139034,4.39E+00,7.50E+01,5.43E+01,1.97E+01
141,33.3646,0.000375441,3.98E+00,6.05E+01,4.57E+01,1.80E+01
142,40.0296,-0.000197473,3.60E+00,5.10E+01,4.02E+01,1.79E+01
143,46.6952,-0.000525279,3.23E+00,4.43E+01,3.64E+01,1.82E+01
144,53.3609,-0.000691745,2.89E+00,3.93E+01,3.35E+01,1.86E+01
145,60.0268,-0.000765307,2.55E+00,3.54E+01,3.13E+01,1.88E+01
