NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,100,-100,2.68E-02,1.81E+00,8.22E-01,4.27E+00
3,100.001,-93.3337,3.74E-02,1.91E+00,8.95E-01,4.44E+00
4,100.001,-86.6671,4.79E-02,1.98E+00,9.02E-01,4.57E+00
5,100.001,-80.0004,5.81E-02,2.04E+00,8.65E-01,4.66E+00
6,100.002,-73.3336,6.76E-02,2.08E+00,8.01E-01,4.68E+00
7,100.002,-66.667,7.63E-02,2.11E+00,7.20E-01,4.63E+00
8,100.002,-60.0002,8.41E-02,2.11E+00,6.26E-01,4.51E+00
9,100.003,-53.3335,9.07E-02,2.07E+00,5.23E-01,4.32E+00
10,100.003,-46.6668,9.60E-02,1.97E+00,4.09E-01,4.05E+00
11,100.003,-40,9.98E-02,1.82E+00,2.95E-01,3.71E+00
12,100.003,-33.3333,1.02E-01,1.63E+00,2.36E-01,3.31E+00
13,100.003,-26.6666,1.02E-01,1.39E+00,2.24E-01,2.88E+00
14,100.003,-19.9998,1.01E-01,1.15E+00,2.16E-01,2.44E+00
15,100.003,-13.333,9.77E-02,9.13E-01,2.60E-01,2.01E+00
16,100.003,-6.66638,9.31E-02,7.07E-01,3.42E-01,1.62E+00
17,100.003,0.000315203,8.73E-02,5.56E-01,3.92E-01,1.28E+00
18,100.003,6.66698,8.05E-02,4.72E-01,3.98E-01,1.00E+00
19,100.002,13.3336,7.32E-02,4.30E-01,3.58E-01,7.96E-01
20,100.002,20.0003,6.55E-02,4.04E-01,2.79E-01,6.60E-01
21,100.002,26.6669,5.76E-02,3.85E-01,1.70E-01,5.88E-01
22,100.002,33.3335,4.98E-02,3.77E-01,9.38E-02,5.63E-01
23,100.001,40.0001,4.22E-02,3.84E-01,1.51E-01,5.67E-01
24,100.001,46.6667,3.49E-02,4.02E-01,3.07E-01,5.85E-01
25,100.001,53.3333,2.80E-02,4.16E-01,4.73E-01,6.01E-01
26,100,59.9999,2.16E-02,4.14E-01,6.37E-01,6.00E-01
27,100,66.6665,1.59E-02,3.90E-01,7.92E-01,5.74E-01
28,100,73.3331,1.09E-02,3.42E-01,9.35E-01,5.22E-01
29,99.9998,79.9997,6.82E-03,2.72E-01,1.06E+00,4.44E-01
30,99.9997,86.6663,3.62E-03,1.87E-01,1.17E+00,3.51E-01
31,99.9996,93.3329,1.37E-03,1.06E-01,1.25E+00,2.58E-01
32,99.9996,99.9996,4.50E-05,6.95E-02,1.35E+00,1.91E-01
33,93.3329,99.9996,1.37E-03,1.06E-01,1.26E+00,2.58E-01
34,86.6663,99.9997,3.63E-03,1.86E-01,1.17E+00,3.50E-01
35,79.9997,99.9998,6.83E-03,2.71E-01,1.06E+00,4.43E-01
36,73.3331,100,1.09E-02,3.41E-01,9.37E-01,5.21E-01
37,66.6665,100,1.59E-02,3.89E-01,7.95E-01,5.73E-01
38,59.9999,100,2.16E-02,4.12E-01,6.40E-01,5.98E-01
39,53.3333,100.001,2.79E-02,4.14E-01,4.77E-01,5.99E-01
40,46.6667,100.001,3.48E-02,4.00E-01,3.12E-01,5.84E-01
41,40.0001,100.001,4.21E-02,3.82E-01,1.56E-01,5.66E-01
42,33.3335,100.002,4.97E-02,3.75E-01,9.34E-02,5.62E-01
43,26.6669,100.002,5.75E-02,3.84E-01,1.64E-01,5.88E-01
44,20.0003,100.002,6.53E-02,4.03E-01,2.72E-01,6.60E-01
45,13.3336,100.002,7.30E-02,4.29E-01,3.50E-01,7.96E-01
46,6.66698,100.003,8.03E-02,4.71E-01,3.89E-01,1.01E+00
