NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9419,-99.9419,3.88E+00,1.72E+01,4.56E+01,1.51E+02
3,99.945,-93.2717,4.11E+00,1.74E+01,4.72E+01,1.52E+02
4,99.9503,-86.6038,4.33E+00,1.73E+01,4.91E+01,1.51E+02
5,99.9577,-79.9378,4.53E+00,1.69E+01,5.11E+01,1.48E+02
6,99.9666,-73.2736,4.72E+00,1.63E+01,5.33E+01,1.42E+02
7,99.9767,-66.611,4.89E+00,1.55E+01,5.55E+01,1.35E+02
8,99.9872,-59.9492,5.04E+00,1.47E+01,5.76E+01,1.27E+02
9,99.9978,-53.2882,5.18E+00,1.40E+01,5.97E+01,1.20E+02
10,100.008,-46.6276,5.31E+00,1.34E+01,6.16E+01,1.13E+02
11,100.017,-39.967,5.41E+00,1.31E+01,6.36E+01,1.06E+02
12,100.026,-33.3065,5.51E+00,1.30E+01,6.55E+01,9.95E+01
13,100.033,-26.6459,5.58E+00,1.31E+01,6.75E+01,9.34E+01
14,100.038,-19.9851,5.64E+00,1.33E+01,6.95E+01,8.77E+01
15,100.042,-13.3242,5.68E+00,1.36E+01,7.16E+01,8.21E+01
16,100.044,-6.6632,5.71E+00,1.40E+01,7.39E+01,7.68E+01
17,100.045,-0.00218598,5.71E+00,1.42E+01,7.64E+01,7.16E+01
18,100.044,6.65879,5.70E+00,1.44E+01,7.91E+01,6.66E+01
19,100.04,13.3197,5.67E+00,1.46E+01,8.22E+01,6.18E+01
20,100.036,19.9804,5.63E+00,1.47E+01,8.58E+01,5.71E+01
21,100.029,26.6409,5.56E+00,1.47E+01,8.99E+01,5.26E+01
22,100.021,33.3013,5.48E+00,1.47E+01,9.47E+01,4.82E+01
23,100.012,39.9616,5.39E+00,1.47E+01,1.00E+02,4.39E+01
24,100.002,46.6218,5.27E+00,1.46E+01,1.06E+02,3.97E+01
25,99.991,53.2821,5.14E+00,1.45E+01,1.13E+02,3.56E+01
26,99.9798,59.9428,5.00E+00,1.43E+01,1.20E+02,3.16E+01
27,99.9688,66.6041,4.84E+00,1.40E+01,1.28E+02,2.77E+01
28,99.9584,73.2666,4.67E+00,1.38E+01,1.35E+02,2.40E+01
29,99.9494,79.9305,4.48E+00,1.35E+01,1.41E+02,2.05E+01
30,99.9421,86.5963,4.27E+00,1.32E+01,1.45E+02,1.76E+01
31,99.9371,93.2643,4.05E+00,1.28E+01,1.46E+02,1.53E+01
32,99.9344,99.9346,3.82E+00,1.25E+01,1.45E+02,1.39E+01
33,93.2637,99.9368,4.05E+00,1.28E+01,1.47E+02,1.52E+01
34,86.5953,99.9415,4.27E+00,1.32E+01,1.46E+02,1.73E+01
35,79.929,99.9485,4.48E+00,1.35E+01,1.42E+02,2.02E+01
36,73.2648,99.9574,4.67E+00,1.38E+01,1.37E+02,2.37E+01
37,66.6021,99.9677,4.84E+00,1.40E+01,1.30E+02,2.74E+01
38,59.9407,99.9788,5.00E+00,1.42E+01,1.22E+02,3.13E+01
39,53.28,99.99,5.15E+00,1.44E+01,1.14E+02,3.54E+01
40,46.6197,100.001,5.28E+00,1.45E+01,1.07E+02,3.96E+01
41,39.9595,100.011,5.39E+00,1.46E+01,1.01E+02,4.38E+01
42,33.2993,100.021,5.49E+00,1.47E+01,9.53E+01,4.82E+01
43,26.639,100.029,5.57E+00,1.46E+01,9.04E+01,5.26E+01
44,19.9785,100.036,5.63E+00,1.46E+01,8.62E+01,5.72E+01
45,13.3179,100.041,5.68E+00,1.45E+01,8.26E+01,6.18E+01
46,6.65709,100.044,5.71E+00,1.43E+01,7.94E+01,6.66E+01
47,-0.00381938,100.046,5.72E+00,1.41E+01,7.66E+01,7.16E+01
48,-6.66478,100.045,5.71E+00,1.38E+01,7.41E+01,7.67E+01
49,-13.3257,100.043,5.69E+00,1.35E+01,7.19E+01,8.19E+01
50,-19.9866,100.04,5.65E+00,1.32E+01,6.97E+01,8.74E+01
51,-26.6474,100.034,5.59E+00,1.30E+01,6.77E+01,9.30E+01
52,-33.3079,100.027,5.51E+00,1.29E+01,6.57E+01,9.90E+01
53,-39.9685,100.019,5.42E+00,1.30E+01,6.38E+01,1.05E+02
54,-46.629,100.009,5.31E+00,1.33E+01,6.18E+01,1.12E+02
55,-53.2895,99.9991,5.19E+00,1.39E+01,5.99E+01,1.19E+02
56,-59.9504,99.9883,5.05E+00,1.46E+01,5.78E+01,1.26E+02
57,-66.6119,99.9776,4.89E+00,1.55E+01,5.57E+01,1.34E+02
58,-73.2743,99.9673,4.72E+00,1.63E+01,5.35E+01,1.41E+02
59,-79.9382,99.958,4.53E+00,1.69E+01,5.13E+01,1.47E+02
60,-86.604,99.9504,4.33E+00,1.73E+01,4.92E+01,1.51E+02
61,-93.2718,99.9449,4.11E+00,1.74E+01,4.73E+01,1.52E+02
62,-99.9419,99.9417,3.88E+00,1.72E+01,4.57E+01,1.50E+02
63,-99.9448,93.2713,4.12E+00,1.74E+01,4.72E+01,1.52E+02
64,-99.9501,86.6031,4.34E+00,1.73E+01,4.91E+01,1.52E+02
65,-99.9575,79.937,4.54E+00,1.68E+01,5.11E+01,1.48E+02
66,-99.9667,73.2728,4.73E+00,1.62E+01,5.33E+01,1.43E+02
67,-99.9769,66.6101,4.90E+00,1.53E+01,5.55E+01,1.35E+02
68,-99.9878,59.9485,5.06E+00,1.45E+01,5.76E+01,1.28E+02
69,-99.9986,53.2876,5.20E+00,1.37E+01,5.96E+01,1.20E+02
70,-100.009,46.627,5.32E+00,1.31E+01,6.16E+01,1.13E+02
71,-100.019,39.9665,5.43E+00,1.28E+01,6.35E+01,1.06E+02
72,-100.027,33.306,5.52E+00,1.27E+01,6.55E+01,9.89E+01
73,-100.034,26.6454,5.60E+00,1.28E+01,6.74E+01,9.28E+01
74,-100.04,19.9847,5.66E+00,1.30E+01,6.94E+01,8.70E+01
75,-100.044,13.3239,5.70E+00,1.33E+01,7.15E+01,8.14E+01
76,-100.046,6.66292,5.73E+00,1.37E+01,7.37E+01,7.62E+01
77,-100.047,0.00195543,5.73E+00,1.39E+01,7.61E+01,7.11E+01
78,-100.045,-6.65896,5.72E+00,1.42E+01,7.89E+01,6.62E+01
79,-100.042,-13.3197,5.69E+00,1.43E+01,8.20E+01,6.14E+01
80,-100.037,-19.9804,5.64E+00,1.44E+01,8.55E+01,5.68E+01
81,-100.03,-26.6409,5.57E+00,1.45E+01,8.97E+01,5.23E+01
82,-100.022,-33.301,5.49E+00,1.45E+01,9.45E+01,4.79E+01
83,-100.013,-39.9612,5.39E+00,1.45E+01,1.00E+02,4.36E+01
84,-100.002,-46.6213,5.28E+00,1.45E+01,1.06E+02,3.94E+01
85,-99.9914,-53.2814,5.15E+00,1.43E+01,1.14E+02,3.53E+01
86,-99.98,-59.9421,5.00E+00,1.42E+01,1.21E+02,3.12E+01
87,-99.9688,-66.6034,4.84E+00,1.40E+01,1.29E+02,2.73E+01
88,-99.9583,-73.2658,4.67E+00,1.38E+01,1.36E+02,2.35E+01
89,-99.9492,-79.9298,4.48E+00,1.35E+01,1.42E+02,2.01E+01
90,-99.9421,-86.5959,4.27E+00,1.32E+01,1.46E+02,1.71E+01
91,-99.9372,-93.2641,4.05E+00,1.29E+01,1.47E+02,1.49E+01
92,-99.9348,-99.9347,3.82E+00,1.26E+01,1.45E+02,1.36E+01
93,-93.2646,-99.9374,4.05E+00,1.29E+01,1.46E+02,1.51E+01
94,-86.5967,-99.9425,4.27E+00,1.32E+01,1.45E+02,1.74E+01
95,-79.931,-99.95,4.47E+00,1.35E+01,1.40E+02,2.04E+01
96,-73.2673,-99.9592,4.66E+00,1.38E+01,1.34E+02,2.39E+01
97,-66.6052,-99.9698,4.84E+00,1.40E+01,1.27E+02,2.76E+01
98,-59.944,-99.981,5.00E+00,1.42E+01,1.19E+02,3.15E+01
99,-53.2835,-99.9923,5.15E+00,1.44E+01,1.12E+02,3.55E+01
100,-46.6233,-100.003,5.27E+00,1.45E+01,1.05E+02,3.95E+01
101,-39.9632,-100.014,5.39E+00,1.46E+01,9.92E+01,4.37E+01
102,-33.303,-100.023,5.49E+00,1.46E+01,9.38E+01,4.79E+01
103,-26.6427,-100.031,5.57E+00,1.46E+01,8.92E+01,5.23E+01
104,-19.9822,-100.037,5.63E+00,1.45E+01,8.52E+01,5.67E+01
105,-13.3215,-100.042,5.68E+00,1.44E+01,8.17E+01,6.13E+01
106,-6.66063,-100.045,5.71E+00,1.43E+01,7.86E+01,6.61E+01
107,0.000345536,-100.046,5.72E+00,1.41E+01,7.59E+01,7.11E+01
108,6.66135,-100.045,5.72E+00,1.38E+01,7.34E+01,7.62E+01
109,13.3223,-100.043,5.69E+00,1.35E+01,7.12E+01,8.16E+01
110,19.9832,-100.039,5.65E+00,1.32E+01,6.91E+01,8.72E+01
111,26.6439,-100.033,5.59E+00,1.29E+01,6.71E+01,9.31E+01
112,33.3045,-100.026,5.52E+00,1.28E+01,6.52E+01,9.93E+01
113,39.965,-100.017,5.42E+00,1.29E+01,6.33E+01,1.06E+02
114,46.6255,-100.007,5.31E+00,1.32E+01,6.13E+01,1.13E+02
115,53.2861,-99.9971,5.19E+00,1.38E+01,5.94E+01,1.20E+02
116,59.9472,-99.9863,5.05E+00,1.45E+01,5.74E+01,1.28E+02
117,66.6089,-99.9757,4.90E+00,1.53E+01,5.53E+01,1.36E+02
118,73.2719,-99.9656,4.72E+00,1.61E+01,5.31E+01,1.43E+02
119,79.9363,-99.9568,4.54E+00,1.68E+01,5.10E+01,1.49E+02
120,86.6027,-99.9497,4.33E+00,1.72E+01,4.90E+01,1.52E+02
121,93.2712,-99.9446,4.12E+00,1.73E+01,4.72E+01,1.53E+02
122,-93.38,0.00223943,6.25E+00,1.48E+01,7.84E+01,7.25E+01
123,-86.7133,0.00255015,6.77E+00,1.59E+01,8.08E+01,7.39E+01
124,-80.0465,0.00288442,7.32E+00,1.70E+01,8.36E+01,7.55E+01
125,-73.3797,0.00324303,7.88E+00,1.84E+01,8.68E+01,7.71E+01
126,-66.7133,0.00361339,8.45E+00,2.01E+01,9.07E+01,7.88E+01
127,-60.047,0.00399244,9.05E+00,2.22E+01,9.54E+01,8.08E+01
128,-53.3813,0.00434567,9.68E+00,2.48E+01,1.01E+02,8.30E+01
129,-46.7162,0.00465875,1.03E+01,2.82E+01,1.09E+02,8.55E+01
130,-40.052,0.0048164,1.10E+01,3.27E+01,1.20E+02,8.86E+01
131,-33.389,0.00474872,1.18E+01,3.91E+01,1.36E+02,9.27E+01
132,-26.7279,0.00402412,1.25E+01,4.86E+01,1.61E+02,9.93E+01
133,-20.0701,0.00212208,1.34E+01,6.38E+01,2.04E+02,1.15E+02
134,-13.4225,-0.00445231,1.44E+01,9.25E+01,2.99E+02,1.41E+02
