NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9595,-99.9596,1.01E+00,2.32E+02,5.96E+01,2.71E+02
3,99.9623,-93.2834,1.21E+00,2.41E+02,6.36E+01,2.77E+02
4,99.9684,-86.6121,1.38E+00,2.48E+02,6.73E+01,2.81E+02
5,99.9766,-79.9442,1.52E+00,2.49E+02,7.14E+01,2.80E+02
6,99.9859,-73.2789,1.63E+00,2.44E+02,7.59E+01,2.73E+02
7,99.9958,-66.6157,1.73E+00,2.35E+02,8.08E+01,2.63E+02
8,100.006,-59.9535,1.82E+00,2.25E+02,8.60E+01,2.51E+02
9,100.015,-53.2921,1.89E+00,2.13E+02,9.15E+01,2.38E+02
10,100.024,-46.631,1.95E+00,2.01E+02,9.73E+01,2.25E+02
11,100.032,-39.9698,2.01E+00,1.90E+02,1.03E+02,2.12E+02
12,100.039,-33.3086,2.05E+00,1.80E+02,1.09E+02,1.99E+02
13,100.044,-26.6473,2.09E+00,1.70E+02,1.16E+02,1.87E+02
14,100.049,-19.9858,2.12E+00,1.62E+02,1.22E+02,1.76E+02
15,100.052,-13.3242,2.14E+00,1.54E+02,1.29E+02,1.64E+02
16,100.054,-6.66253,2.15E+00,1.47E+02,1.37E+02,1.53E+02
17,100.054,-0.000793601,2.16E+00,1.41E+02,1.44E+02,1.42E+02
18,100.053,6.66093,2.15E+00,1.35E+02,1.52E+02,1.32E+02
19,100.051,13.3226,2.14E+00,1.30E+02,1.61E+02,1.21E+02
20,100.048,19.9841,2.12E+00,1.25E+02,1.70E+02,1.10E+02
21,100.043,26.6455,2.09E+00,1.21E+02,1.80E+02,9.92E+01
22,100.037,33.3067,2.05E+00,1.17E+02,1.91E+02,8.83E+01
23,100.03,39.9678,2.00E+00,1.13E+02,2.02E+02,7.73E+01
24,100.021,46.6288,1.94E+00,1.10E+02,2.15E+02,6.62E+01
25,100.012,53.2897,1.87E+00,1.07E+02,2.27E+02,5.52E+01
26,100.002,59.951,1.79E+00,1.05E+02,2.40E+02,4.44E+01
27,99.9914,66.613,1.70E+00,1.03E+02,2.52E+02,3.46E+01
28,99.9809,73.2761,1.59E+00,1.01E+02,2.62E+02,2.75E+01
29,99.9712,79.9412,1.47E+00,9.96E+01,2.68E+02,2.54E+01
30,99.9631,86.6089,1.32E+00,9.83E+01,2.69E+02,2.91E+01
31,99.9574,93.28,1.14E+00,9.68E+01,2.63E+02,3.65E+01
32,99.9556,99.9556,9.30E-01,9.38E+01,2.56E+02,4.42E+01
33,93.2797,99.957,1.14E+00,9.68E+01,2.65E+02,3.66E+01
34,86.608,99.9624,1.32E+00,9.81E+01,2.72E+02,2.94E+01
35,79.9399,99.9702,1.47E+00,9.92E+01,2.73E+02,2.56E+01
36,73.2745,99.9798,1.59E+00,1.01E+02,2.68E+02,2.73E+01
37,66.6111,99.9903,1.70E+00,1.02E+02,2.58E+02,3.40E+01
38,59.9491,100.001,1.79E+00,1.04E+02,2.46E+02,4.35E+01
39,53.2878,100.011,1.87E+00,1.06E+02,2.32E+02,5.42E+01
40,46.6269,100.021,1.94E+00,1.09E+02,2.19E+02,6.53E+01
41,39.966,100.029,2.00E+00,1.12E+02,2.06E+02,7.64E+01
42,33.305,100.037,2.05E+00,1.16E+02,1.94E+02,8.74E+01
43,26.6439,100.043,2.09E+00,1.19E+02,1.83E+02,9.84E+01
44,19.9826,100.048,2.12E+00,1.24E+02,1.73E+02,1.09E+02
45,13.3211,100.052,2.14E+00,1.28E+02,1.63E+02,1.20E+02
46,6.65949,100.054,2.15E+00,1.33E+02,1.54E+02,1.31E+02
47,-0.00220221,100.055,2.16E+00,1.39E+02,1.46E+02,1.41E+02
48,-6.66392,100.055,2.15E+00,1.45E+02,1.38E+02,1.52E+02
49,-13.3256,100.053,2.14E+00,1.52E+02,1.31E+02,1.63E+02
50,-19.9872,100.05,2.12E+00,1.59E+02,1.24E+02,1.74E+02
51,-26.6487,100.045,2.09E+00,1.68E+02,1.17E+02,1.86E+02
52,-33.3099,100.04,2.05E+00,1.77E+02,1.11E+02,1.98E+02
53,-39.971,100.033,2.01E+00,1.87E+02,1.04E+02,2.10E+02
54,-46.6321,100.025,1.95E+00,1.99E+02,9.84E+01,2.23E+02
55,-53.293,100.016,1.89E+00,2.11E+02,9.26E+01,2.36E+02
56,-59.9543,100.007,1.82E+00,2.23E+02,8.70E+01,2.49E+02
57,-66.6161,99.9964,1.73E+00,2.34E+02,8.16E+01,2.62E+02
58,-73.2789,99.9861,1.63E+00,2.43E+02,7.66E+01,2.73E+02
59,-79.9437,99.9764,1.52E+00,2.49E+02,7.20E+01,2.80E+02
60,-86.6112,99.9678,1.38E+00,2.49E+02,6.79E+01,2.82E+02
61,-93.2824,99.9614,1.22E+00,2.42E+02,6.41E+01,2.79E+02
62,-99.9585,99.9585,1.01E+00,2.34E+02,6.03E+01,2.73E+02
