NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9966,-99.9965,1.61E+00,1.57E+01,7.94E+00,2.28E+01
3,99.9976,-93.3293,1.71E+00,1.59E+01,8.20E+00,2.30E+01
4,99.9989,-86.6624,1.80E+00,1.58E+01,8.48E+00,2.30E+01
5,100.001,-79.9957,1.88E+00,1.54E+01,8.79E+00,2.26E+01
6,100.002,-73.3292,1.97E+00,1.48E+01,9.12E+00,2.19E+01
7,100.004,-66.663,2.04E+00,1.41E+01,9.45E+00,2.10E+01
8,100.006,-59.9969,2.11E+00,1.34E+01,9.79E+00,1.99E+01
9,100.008,-53.3307,2.18E+00,1.27E+01,1.01E+01,1.87E+01
10,100.011,-46.6647,2.24E+00,1.22E+01,1.04E+01,1.73E+01
11,100.012,-39.9986,2.29E+00,1.20E+01,1.07E+01,1.59E+01
12,100.014,-33.3323,2.33E+00,1.19E+01,1.09E+01,1.44E+01
13,100.015,-26.6661,2.36E+00,1.21E+01,1.11E+01,1.28E+01
14,100.016,-19.9998,2.39E+00,1.24E+01,1.12E+01,1.12E+01
15,100.017,-13.3334,2.40E+00,1.27E+01,1.12E+01,9.71E+00
16,100.017,-6.66707,2.40E+00,1.30E+01,1.13E+01,8.31E+00
17,100.016,-0.000789005,2.39E+00,1.33E+01,1.15E+01,7.06E+00
18,100.015,6.66541,2.38E+00,1.35E+01,1.17E+01,5.96E+00
19,100.014,13.3315,2.35E+00,1.36E+01,1.21E+01,5.00E+00
20,100.013,19.9975,2.32E+00,1.37E+01,1.25E+01,4.18E+00
21,100.011,26.6635,2.27E+00,1.37E+01,1.31E+01,3.51E+00
22,100.009,33.3294,2.23E+00,1.37E+01,1.38E+01,3.00E+00
23,100.007,39.9952,2.17E+00,1.37E+01,1.46E+01,2.68E+00
24,100.005,46.6611,2.11E+00,1.36E+01,1.55E+01,2.57E+00
25,100.003,53.3269,2.05E+00,1.34E+01,1.64E+01,2.65E+00
26,100.001,59.9929,1.98E+00,1.32E+01,1.74E+01,2.85E+00
27,99.9991,66.659,1.91E+00,1.30E+01,1.83E+01,3.12E+00
28,99.9972,73.3252,1.83E+00,1.27E+01,1.92E+01,3.40E+00
29,99.9956,79.9916,1.75E+00,1.24E+01,1.98E+01,3.67E+00
30,99.9943,86.6583,1.66E+00,1.21E+01,2.02E+01,3.90E+00
31,99.9932,93.3253,1.57E+00,1.18E+01,2.03E+01,4.08E+00
32,99.9925,99.9925,1.48E+00,1.15E+01,2.01E+01,4.22E+00
33,93.3253,99.9932,1.57E+00,1.18E+01,2.03E+01,4.09E+00
34,86.6583,99.9942,1.66E+00,1.21E+01,2.02E+01,3.91E+00
35,79.9916,99.9956,1.75E+00,1.24E+01,1.99E+01,3.68E+00
36,73.3251,99.9972,1.83E+00,1.27E+01,1.93E+01,3.42E+00
37,66.6589,99.999,1.91E+00,1.30E+01,1.84E+01,3.13E+00
38,59.9928,100.001,1.98E+00,1.32E+01,1.75E+01,2.86E+00
39,53.3268,100.003,2.05E+00,1.34E+01,1.65E+01,2.65E+00
40,46.661,100.005,2.11E+00,1.35E+01,1.56E+01,2.57E+00
41,39.9951,100.007,2.17E+00,1.36E+01,1.46E+01,2.68E+00
42,33.3292,100.009,2.23E+00,1.37E+01,1.38E+01,3.00E+00
43,26.6633,100.011,2.27E+00,1.37E+01,1.31E+01,3.52E+00
44,19.9974,100.013,2.31E+00,1.36E+01,1.25E+01,4.20E+00
45,13.3314,100.014,2.35E+00,1.35E+01,1.21E+01,5.03E+00
46,6.66525,100.015,2.38E+00,1.34E+01,1.17E+01,5.99E+00
