NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9913,-99.9907,6.82E-01,3.66E+01,4.40E+01,3.05E+01
3,99.9939,-93.3208,8.04E-01,4.18E+01,3.73E+01,3.92E+01
4,99.9961,-86.6528,9.06E-01,3.99E+01,3.71E+01,3.64E+01
5,99.9988,-79.9856,9.94E-01,3.92E+01,3.68E+01,3.55E+01
6,100.002,-73.3191,1.07E+00,3.83E+01,3.64E+01,3.48E+01
7,100.005,-66.6533,1.14E+00,3.72E+01,3.58E+01,3.46E+01
8,100.008,-59.9879,1.21E+00,3.60E+01,3.50E+01,3.44E+01
9,100.012,-53.3226,1.26E+00,3.49E+01,3.43E+01,3.42E+01
10,100.015,-46.6576,1.31E+00,3.39E+01,3.37E+01,3.39E+01
11,100.018,-39.9925,1.36E+00,3.30E+01,3.31E+01,3.36E+01
12,100.02,-33.3274,1.39E+00,3.25E+01,3.27E+01,3.33E+01
13,100.022,-26.6624,1.43E+00,3.21E+01,3.23E+01,3.30E+01
14,100.024,-19.9971,1.45E+00,3.20E+01,3.21E+01,3.26E+01
15,100.025,-13.3319,1.47E+00,3.20E+01,3.20E+01,3.22E+01
16,100.026,-6.66662,1.48E+00,3.22E+01,3.20E+01,3.19E+01
17,100.025,-0.00132948,1.49E+00,3.26E+01,3.21E+01,3.15E+01
18,100.025,6.66395,1.48E+00,3.31E+01,3.23E+01,3.12E+01
19,100.024,13.3292,1.48E+00,3.37E+01,3.27E+01,3.08E+01
20,100.022,19.9944,1.46E+00,3.45E+01,3.31E+01,3.06E+01
21,100.02,26.6596,1.44E+00,3.54E+01,3.37E+01,3.04E+01
22,100.017,33.3247,1.41E+00,3.64E+01,3.45E+01,3.03E+01
23,100.014,39.9897,1.37E+00,3.75E+01,3.54E+01,3.04E+01
24,100.011,46.6549,1.33E+00,3.87E+01,3.64E+01,3.07E+01
25,100.007,53.32,1.28E+00,3.99E+01,3.74E+01,3.14E+01
26,100.003,59.9853,1.22E+00,4.10E+01,3.85E+01,3.25E+01
27,99.9988,66.6509,1.15E+00,4.19E+01,3.93E+01,3.40E+01
28,99.9948,73.3168,1.08E+00,4.24E+01,3.99E+01,3.56E+01
29,99.9912,79.9833,9.92E-01,4.21E+01,3.98E+01,3.69E+01
30,99.9883,86.6503,8.98E-01,4.09E+01,3.90E+01,3.75E+01
31,99.9864,93.3179,7.96E-01,3.85E+01,3.75E+01,3.70E+01
32,99.9862,99.9861,6.91E-01,4.71E+01,2.52E+01,5.16E+01
33,93.3178,99.9861,7.96E-01,3.88E+01,3.77E+01,3.72E+01
34,86.6502,99.9879,8.97E-01,4.12E+01,3.94E+01,3.77E+01
35,79.983,99.9907,9.92E-01,4.23E+01,4.02E+01,3.71E+01
36,73.3165,99.9942,1.08E+00,4.26E+01,4.03E+01,3.58E+01
37,66.6506,99.9981,1.15E+00,4.22E+01,3.98E+01,3.43E+01
38,59.985,100.002,1.22E+00,4.13E+01,3.90E+01,3.29E+01
39,53.3197,100.006,1.28E+00,4.02E+01,3.80E+01,3.17E+01
40,46.6546,100.01,1.33E+00,3.89E+01,3.69E+01,3.10E+01
41,39.9895,100.014,1.37E+00,3.77E+01,3.59E+01,3.06E+01
42,33.3244,100.017,1.41E+00,3.65E+01,3.49E+01,3.05E+01
43,26.6593,100.019,1.44E+00,3.54E+01,3.41E+01,3.06E+01
44,19.9942,100.022,1.46E+00,3.45E+01,3.35E+01,3.08E+01
45,13.329,100.024,1.47E+00,3.36E+01,3.29E+01,3.10E+01
46,6.66376,100.025,1.48E+00,3.30E+01,3.25E+01,3.13E+01
47,-0.00151506,100.025,1.49E+00,3.24E+01,3.23E+01,3.16E+01
48,-6.66681,100.026,1.48E+00,3.20E+01,3.21E+01,3.19E+01
49,-13.3321,100.025,1.47E+00,3.18E+01,3.21E+01,3.23E+01
50,-19.9973,100.024,1.45E+00,3.18E+01,3.22E+01,3.26E+01
51,-26.6626,100.023,1.43E+00,3.19E+01,3.24E+01,3.29E+01
52,-33.3277,100.021,1.39E+00,3.23E+01,3.27E+01,3.32E+01
53,-39.9928,100.018,1.36E+00,3.29E+01,3.31E+01,3.35E+01
54,-46.6578,100.015,1.31E+00,3.37E+01,3.37E+01,3.38E+01
55,-53.3228,100.012,1.26E+00,3.47E+01,3.43E+01,3.41E+01
56,-59.988,100.009,1.20E+00,3.58E+01,3.50E+01,3.43E+01
57,-66.6535,100.005,1.14E+00,3.70E+01,3.57E+01,3.45E+01
58,-73.3192,100.002,1.07E+00,3.81E+01,3.63E+01,3.49E+01
59,-79.9856,99.9988,9.93E-01,3.89E+01,3.69E+01,3.55E+01
60,-86.6526,99.9962,9.07E-01,3.91E+01,3.71E+01,3.63E+01
61,-93.3202,99.9941,8.13E-01,3.81E+01,3.68E+01,3.82E+01
62,-99.9884,99.9923,7.13E-01,4.24E+01,2.77E+01,5.23E+01
63,-99.9916,93.3216,8.47E-01,5.04E+01,1.97E+01,6.67E+01
64,-99.9942,86.653,9.54E-01,5.07E+01,1.91E+01,6.72E+01
65,-99.9974,79.9856,1.04E+00,5.03E+01,1.96E+01,6.67E+01
66,-100.001,73.319,1.12E+00,4.91E+01,2.02E+01,6.51E+01
67,-100.004,66.653,1.19E+00,4.71E+01,2.10E+01,6.27E+01
68,-100.008,59.9875,1.25E+00,4.48E+01,2.19E+01,5.98E+01
69,-100.012,53.3223,1.30E+00,4.24E+01,2.29E+01,5.68E+01
70,-100.015,46.6572,1.35E+00,4.01E+01,2.39E+01,5.36E+01
71,-100.018,39.9921,1.39E+00,3.80E+01,2.50E+01,5.03E+01
72,-100.021,33.3269,1.42E+00,3.62E+01,2.62E+01,4.70E+01
73,-100.023,26.6618,1.45E+00,3.47E+01,2.74E+01,4.36E+01
74,-100.024,19.9965,1.47E+00,3.36E+01,2.86E+01,4.02E+01
75,-100.025,13.3313,1.48E+00,3.27E+01,2.99E+01,3.67E+01
76,-100.026,6.66597,1.49E+00,3.21E+01,3.13E+01,3.33E+01
77,-100.026,0.000681659,1.48E+00,3.16E+01,3.28E+01,2.99E+01
78,-100.025,-6.66457,1.48E+00,3.11E+01,3.44E+01,2.65E+01
79,-100.024,-13.3297,1.46E+00,3.08E+01,3.63E+01,2.32E+01
80,-100.022,-19.9949,1.44E+00,3.05E+01,3.83E+01,2.00E+01
81,-100.02,-26.66,1.41E+00,3.03E+01,4.05E+01,1.68E+01
82,-100.017,-33.325,1.38E+00,3.02E+01,4.30E+01,1.37E+01
83,-100.014,-39.99,1.33E+00,3.00E+01,4.58E+01,1.09E+01
84,-100.011,-46.655,1.29E+00,2.99E+01,4.87E+01,8.59E+00
85,-100.007,-53.32,1.23E+00,2.98E+01,5.17E+01,7.16E+00
86,-100.003,-59.9852,1.17E+00,2.96E+01,5.48E+01,7.05E+00
87,-99.9991,-66.6506,1.10E+00,2.93E+01,5.76E+01,8.15E+00
88,-99.9955,-73.3164,1.03E+00,2.89E+01,5.99E+01,9.86E+00
89,-99.9923,-79.9829,9.40E-01,2.80E+01,6.16E+01,1.15E+01
90,-99.9898,-86.65,8.46E-01,2.64E+01,6.20E+01,1.24E+01
91,-99.9882,-93.3175,7.45E-01,2.28E+01,6.13E+01,1.12E+01
92,-99.9882,-99.9858,6.43E-01,3.07E+01,4.89E+01,2.40E+01
93,-93.3191,-99.9865,7.71E-01,4.27E+01,3.94E+01,3.72E+01
94,-86.6509,-99.9887,8.83E-01,4.39E+01,4.03E+01,3.75E+01
95,-79.9836,-99.9918,9.81E-01,4.43E+01,4.05E+01,3.65E+01
96,-73.317,-99.9955,1.07E+00,4.40E+01,4.02E+01,3.49E+01
97,-66.6511,-99.9994,1.14E+00,4.31E+01,3.95E+01,3.30E+01
98,-59.9856,-100.003,1.21E+00,4.20E+01,3.85E+01,3.13E+01
99,-53.3203,-100.007,1.27E+00,4.07E+01,3.73E+01,3.02E+01
100,-46.6552,-100.011,1.32E+00,3.93E+01,3.62E+01,2.95E+01
101,-39.9901,-100.015,1.36E+00,3.80E+01,3.52E+01,2.93E+01
102,-33.3251,-100.018,1.40E+00,3.68E+01,3.43E+01,2.93E+01
103,-26.66,-100.02,1.43E+00,3.57E+01,3.35E+01,2.95E+01
104,-19.9949,-100.022,1.46E+00,3.48E+01,3.29E+01,2.98E+01
105,-13.3296,-100.024,1.47E+00,3.40E+01,3.24E+01,3.02E+01
106,-6.66441,-100.025,1.49E+00,3.33E+01,3.21E+01,3.06E+01
107,0.000883189,-100.026,1.49E+00,3.28E+01,3.18E+01,3.10E+01
108,6.66619,-100.026,1.49E+00,3.24E+01,3.17E+01,3.14E+01
109,13.3315,-100.025,1.48E+00,3.22E+01,3.18E+01,3.19E+01
110,19.9967,-100.024,1.46E+00,3.21E+01,3.19E+01,3.24E+01
111,26.6619,-100.023,1.44E+00,3.22E+01,3.21E+01,3.29E+01
112,33.327,-100.02,1.41E+00,3.25E+01,3.24E+01,3.34E+01
113,39.9921,-100.018,1.37E+00,3.30E+01,3.29E+01,3.38E+01
114,46.6572,-100.015,1.33E+00,3.37E+01,3.35E+01,3.42E+01
115,53.3222,-100.012,1.28E+00,3.47E+01,3.42E+01,3.45E+01
116,59.9875,-100.008,1.22E+00,3.58E+01,3.49E+01,3.48E+01
117,66.653,-100.005,1.16E+00,3.70E+01,3.56E+01,3.50E+01
118,73.3189,-100.001,1.09E+00,3.80E+01,3.62E+01,3.52E+01
119,79.9854,-99.9983,1.01E+00,3.89E+01,3.65E+01,3.58E+01
120,86.6528,-99.9955,9.20E-01,3.95E+01,3.67E+01,3.67E+01
121,93.3211,-99.9932,8.13E-01,4.17E+01,3.68E+01,3.93E+01
122,-93.361,0.000816553,1.84E+00,3.43E+01,3.45E+01,2.97E+01
123,-86.696,0.000951195,2.20E+00,3.68E+01,3.62E+01,2.99E+01
124,-80.0305,0.0010838,2.56E+00,3.93E+01,3.79E+01,3.03E+01
125,-73.3648,0.00121182,2.93E+00,4.20E+01,3.97E+01,3.06E+01
126,-66.6991,0.00132443,3.31E+00,4.51E+01,4.17E+01,3.09E+01
127,-60.0331,0.00141145,3.70E+00,4.89E+01,4.41E+01,3.09E+01
128,-53.3672,0.00144347,4.11E+00,5.36E+01,4.69E+01,3.08E+01
129,-46.7016,0.00139154,4.53E+00,5.97E+01,5.06E+01,3.06E+01
130,-40.0363,0.00117062,4.97E+00,6.81E+01,5.57E+01,3.03E+01
131,-33.3716,0.000680947,5.44E+00,8.03E+01,6.31E+01,3.03E+01
132,-26.7081,-0.000368698,5.94E+00,9.91E+01,7.48E+01,3.18E+01
133,-20.0464,-0.00239261,6.48E+00,1.31E+02,9.55E+01,3.81E+01
134,-13.3885,-0.0067078,7.09E+00,2.01E+02,1.42E+02,5.08E+01
135,-6.72309,-0.0115484,7.74E+00,3.42E+02,2.34E+02,7.59E+01
136,0.00064839,-0.000829732,8.12E+00,4.32E+02,2.94E+02,9.21E+01
137,6.72305,0.0102794,7.73E+00,3.42E+02,2.34E+02,7.65E+01
138,13.3872,0.00579634,7.07E+00,2.03E+02,1.42E+02,5.38E+01
139,20.0448,0.00157884,6.46E+00,1.33E+02,9.61E+01,4.01E+01
140,26.7065,-0.00041291,5.92E+00,1.01E+02,7.55E+01,3.32E+01
141,33.3702,-0.00144129,5.42E+00,8.15E+01,6.36E+01,3.15E+01
142,40.0351,-0.00191319,4.96E+00,6.91E+01,5.61E+01,3.14E+01
143,46.7005,-0.00211549,4.52E+00,6.05E+01,5.09E+01,3.15E+01
144,53.3663,-0.00214542,4.10E+00,5.43E+01,4.71E+01,3.16E+01
145,60.0323,-0.00208807,3.70E+00,4.95E+01,4.41E+01,3.15E+01
146,66.6983,-0.00197197,3.31E+00,4.58E+01,4.18E+01,3.12E+01
147,73.3642,-0.00182864,2.93E+00,4.27E+01,3.97E+01,3.08E+01
148,80.03,-0.0016722,2.56E+00,4.01E+01,3.79E+01,3.03E+01
149,86.6955,-0.00152088,2.20E+00,3.77E+01,3.61E+01,2.97E+01
150,93.3607,-0.00139062,1.84E+00,3.53E+01,3.42E+01,2.93E+01
151,0.00997955,6.72036,7.72E+00,3.44E+02,2.37E+02,7.59E+01
152,0.00465042,13.386,7.07E+00,2.02E+02,1.46E+02,5.18E+01
153,0.000548236,20.0446,6.47E+00,1.30E+02,9.80E+01,4.00E+01
154,-0.00149954,26.7065,5.93E+00,9.76E+01,7.64E+01,3.42E+01
155,-0.00251676,33.3702,5.43E+00,7.93E+01,6.41E+01,3.25E+01
156,-0.00293698,40.0351,4.96E+00,6.75E+01,5.64E+01,3.22E+01
157,-0.0030713,46.7006,4.52E+00,5.93E+01,5.11E+01,3.21E+01
158,-0.00302238,53.3663,4.10E+00,5.34E+01,4.73E+01,3.20E+01
159,-0.00288031,60.0323,3.70E+00,4.88E+01,4.44E+01,3.18E+01
160,-0.00267397,66.6984,3.31E+00,4.52E+01,4.20E+01,3.15E+01
161,-0.00243649,73.3643,2.93E+00,4.22E+01,4.00E+01,3.10E+01
162,-0.00218109,80.0301,2.56E+00,3.96E+01,3.82E+01,3.04E+01
163,-0.00192702,86.6956,2.20E+00,3.72E+01,3.64E+01,2.98E+01
164,-0.00168954,93.3608,1.84E+00,3.48E+01,3.46E+01,2.94E+01
165,-53.3679,6.66595,4.11E+00,5.20E+01,4.57E+01,3.97E+01
166,-53.365,13.3306,4.08E+00,5.07E+01,4.49E+01,5.03E+01
167,-53.3588,19.9949,3.99E+00,5.11E+01,4.38E+01,6.18E+01
168,-53.3505,26.6586,3.87E+00,5.43E+01,4.20E+01,7.30E+01
169,-53.3412,33.3222,3.72E+00,6.00E+01,3.98E+01,8.31E+01
170,-53.3324,39.9865,3.54E+00,6.63E+01,3.76E+01,9.10E+01
171,-53.3252,46.6523,3.34E+00,7.04E+01,3.55E+01,9.51E+01
172,-53.3205,53.3202,3.12E+00,7.04E+01,3.38E+01,9.40E+01
173,-53.3181,59.99,2.89E+00,6.67E+01,3.24E+01,8.88E+01
174,-53.3175,66.6609,2.65E+00,6.14E+01,3.11E+01,8.16E+01
175,-53.3178,73.332,2.39E+00,5.62E+01,2.97E+01,7.44E+01
176,-53.3187,80.003,2.12E+00,5.21E+01,2.83E+01,6.79E+01
177,-53.32,86.6734,1.85E+00,4.92E+01,2.67E+01,6.22E+01
178,-53.3214,93.343,1.56E+00,4.74E+01,2.50E+01,5.73E+01
179,-59.9959,46.6512,3.08E+00,6.36E+01,3.41E+01,8.61E+01
180,-66.667,46.6513,2.81E+00,5.71E+01,3.27E+01,7.74E+01
181,-73.3378,46.652,2.53E+00,5.17E+01,3.11E+01,7.00E+01
182,-80.0081,46.6531,2.24E+00,4.77E+01,2.95E+01,6.41E+01
183,-86.6779,46.6544,1.95E+00,4.47E+01,2.78E+01,5.96E+01
184,-93.3468,46.6557,1.65E+00,4.23E+01,2.59E+01,5.61E+01
185,-73.3443,39.9876,2.64E+00,4.78E+01,3.26E+01,6.47E+01
186,-73.3506,33.3235,2.74E+00,4.46E+01,3.40E+01,5.90E+01
187,-73.3562,26.6593,2.82E+00,4.24E+01,3.52E+01,5.33E+01
188,-73.3607,19.995,2.88E+00,4.14E+01,3.64E+01,4.74E+01
189,-73.3637,13.3304,2.92E+00,4.12E+01,3.74E+01,4.15E+01
190,-73.3651,6.66578,2.94E+00,4.16E+01,3.84E+01,3.59E+01
191,-66.6883,26.6589,3.16E+00,4.52E+01,3.74E+01,5.79E+01
192,-60.0197,26.6587,3.52E+00,4.89E+01,3.96E+01,6.42E+01
193,-66.6815,33.3228,3.06E+00,4.81E+01,3.59E+01,6.48E+01
194,-66.6742,39.9868,2.94E+00,5.23E+01,3.43E+01,7.15E+01
