NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9959,-99.9959,7.36E-02,2.42E+01,4.77E+01,3.64E+01
3,99.9989,-93.3261,1.45E-01,3.51E+01,4.08E+01,5.56E+01
4,100.002,-86.658,2.01E-01,3.52E+01,4.26E+01,5.50E+01
5,100.004,-79.9907,2.43E-01,3.66E+01,4.27E+01,5.83E+01
6,100.006,-73.324,2.76E-01,3.74E+01,4.20E+01,6.16E+01
7,100.009,-66.658,3.02E-01,3.67E+01,4.07E+01,6.41E+01
8,100.011,-59.9921,3.23E-01,3.49E+01,3.92E+01,6.57E+01
9,100.012,-53.3264,3.41E-01,3.24E+01,3.77E+01,6.67E+01
10,100.014,-46.6608,3.56E-01,2.96E+01,3.63E+01,6.74E+01
11,100.015,-39.9952,3.69E-01,2.68E+01,3.51E+01,6.77E+01
12,100.017,-33.3296,3.80E-01,2.39E+01,3.41E+01,6.79E+01
13,100.018,-26.664,3.89E-01,2.12E+01,3.34E+01,6.79E+01
14,100.018,-19.9984,3.96E-01,1.87E+01,3.28E+01,6.78E+01
15,100.019,-13.3326,4.01E-01,1.71E+01,3.25E+01,6.75E+01
16,100.019,-6.66697,4.04E-01,1.69E+01,3.23E+01,6.71E+01
17,100.019,-0.00126063,4.05E-01,1.73E+01,3.24E+01,6.66E+01
18,100.019,6.66445,4.04E-01,1.81E+01,3.27E+01,6.59E+01
19,100.018,13.3301,4.01E-01,1.93E+01,3.32E+01,6.51E+01
20,100.017,19.9958,3.97E-01,2.08E+01,3.39E+01,6.42E+01
21,100.016,26.6615,3.90E-01,2.27E+01,3.49E+01,6.32E+01
22,100.015,33.3272,3.82E-01,2.50E+01,3.62E+01,6.21E+01
23,100.013,39.9928,3.71E-01,2.76E+01,3.76E+01,6.09E+01
24,100.012,46.6585,3.58E-01,3.06E+01,3.94E+01,5.98E+01
25,100.009,53.3242,3.42E-01,3.39E+01,4.13E+01,5.89E+01
26,100.007,59.9901,3.22E-01,3.74E+01,4.32E+01,5.90E+01
27,100.004,66.6561,2.97E-01,4.08E+01,4.50E+01,6.05E+01
28,100.001,73.3225,2.66E-01,4.38E+01,4.62E+01,6.30E+01
29,99.9978,79.9893,2.28E-01,4.57E+01,4.65E+01,6.50E+01
30,99.9947,86.6565,1.82E-01,4.57E+01,4.52E+01,6.49E+01
31,99.9922,93.324,1.30E-01,4.25E+01,4.25E+01,6.10E+01
32,99.992,99.9922,7.98E-02,5.15E+01,2.55E+01,7.70E+01
33,93.3238,99.9922,1.28E-01,4.32E+01,4.27E+01,6.11E+01
34,86.6563,99.9945,1.78E-01,4.66E+01,4.57E+01,6.52E+01
35,79.9891,99.9975,2.24E-01,4.69E+01,4.72E+01,6.54E+01
36,73.3222,100.001,2.62E-01,4.51E+01,4.71E+01,6.36E+01
37,66.6559,100.004,2.93E-01,4.21E+01,4.60E+01,6.11E+01
38,59.9898,100.007,3.17E-01,3.87E+01,4.42E+01,5.95E+01
39,53.3239,100.009,3.37E-01,3.51E+01,4.22E+01,5.94E+01
40,46.6582,100.011,3.53E-01,3.16E+01,4.03E+01,6.02E+01
41,39.9925,100.013,3.66E-01,2.85E+01,3.84E+01,6.12E+01
42,33.3269,100.015,3.77E-01,2.57E+01,3.68E+01,6.23E+01
43,26.6612,100.016,3.86E-01,2.33E+01,3.55E+01,6.34E+01
44,19.9956,100.017,3.92E-01,2.13E+01,3.44E+01,6.44E+01
45,13.3299,100.018,3.96E-01,1.96E+01,3.35E+01,6.52E+01
46,6.66419,100.019,3.99E-01,1.83E+01,3.29E+01,6.60E+01
47,-0.00151858,100.019,4.00E-01,1.74E+01,3.25E+01,6.66E+01
48,-6.66723,100.019,3.99E-01,1.68E+01,3.23E+01,6.71E+01
49,-13.3329,100.019,3.96E-01,1.69E+01,3.23E+01,6.74E+01
50,-19.9986,100.018,3.91E-01,1.83E+01,3.26E+01,6.76E+01
51,-26.6643,100.018,3.84E-01,2.08E+01,3.30E+01,6.77E+01
52,-33.3298,100.017,3.75E-01,2.36E+01,3.37E+01,6.76E+01
53,-39.9955,100.015,3.64E-01,2.65E+01,3.47E+01,6.74E+01
54,-46.6611,100.014,3.51E-01,2.94E+01,3.59E+01,6.70E+01
55,-53.3266,100.012,3.36E-01,3.22E+01,3.72E+01,6.63E+01
56,-59.9923,100.011,3.19E-01,3.48E+01,3.88E+01,6.53E+01
57,-66.6581,100.009,2.98E-01,3.67E+01,4.04E+01,6.38E+01
58,-73.3241,100.006,2.72E-01,3.76E+01,4.18E+01,6.16E+01
59,-79.9907,100.004,2.40E-01,3.69E+01,4.26E+01,5.86E+01
60,-86.6579,100.001,1.99E-01,3.52E+01,4.26E+01,5.54E+01
61,-93.3258,99.9989,1.48E-01,3.13E+01,4.07E+01,5.54E+01
62,-99.9935,99.9964,9.37E-02,3.56E+01,2.55E+01,7.90E+01
63,-99.9969,93.3258,1.69E-01,5.23E+01,1.55E+01,1.05E+02
64,-100,86.6572,2.23E-01,5.76E+01,1.45E+01,1.07E+02
65,-100.003,79.9898,2.62E-01,5.91E+01,1.37E+01,1.09E+02
66,-100.006,73.3231,2.92E-01,5.75E+01,1.36E+01,1.08E+02
67,-100.008,66.657,3.16E-01,5.39E+01,1.40E+01,1.06E+02
68,-100.011,59.9911,3.35E-01,4.92E+01,1.49E+01,1.03E+02
69,-100.012,53.3254,3.51E-01,4.40E+01,1.62E+01,9.96E+01
70,-100.014,46.6598,3.64E-01,3.88E+01,1.78E+01,9.58E+01
71,-100.016,39.9942,3.76E-01,3.39E+01,1.97E+01,9.18E+01
72,-100.017,33.3286,3.85E-01,2.95E+01,2.18E+01,8.78E+01
73,-100.018,26.6629,3.93E-01,2.55E+01,2.41E+01,8.37E+01
74,-100.019,19.9972,3.99E-01,2.21E+01,2.65E+01,7.95E+01
75,-100.019,13.3315,4.02E-01,1.91E+01,2.90E+01,7.51E+01
76,-100.019,6.66583,4.04E-01,1.66E+01,3.18E+01,7.07E+01
77,-100.019,0.000126151,4.03E-01,1.45E+01,3.48E+01,6.61E+01
78,-100.019,-6.66557,4.01E-01,1.31E+01,3.80E+01,6.14E+01
79,-100.018,-13.3312,3.97E-01,1.26E+01,4.15E+01,5.65E+01
80,-100.018,-19.9969,3.90E-01,1.27E+01,4.53E+01,5.14E+01
81,-100.017,-26.6625,3.82E-01,1.28E+01,4.94E+01,4.61E+01
82,-100.015,-33.3281,3.72E-01,1.29E+01,5.39E+01,4.06E+01
83,-100.014,-39.9937,3.60E-01,1.31E+01,5.86E+01,3.49E+01
84,-100.012,-46.6593,3.45E-01,1.32E+01,6.36E+01,2.89E+01
85,-100.01,-53.3248,3.27E-01,1.33E+01,6.87E+01,2.31E+01
86,-100.007,-59.9906,3.05E-01,1.36E+01,7.37E+01,1.80E+01
87,-100.005,-66.6565,2.79E-01,1.42E+01,7.81E+01,1.49E+01
88,-100.002,-73.3226,2.47E-01,1.55E+01,8.12E+01,1.41E+01
89,-99.9987,-79.9893,2.08E-01,1.73E+01,8.24E+01,1.53E+01
90,-99.9959,-86.6563,1.63E-01,1.83E+01,8.08E+01,1.73E+01
91,-99.9936,-93.3235,1.13E-01,1.60E+01,7.68E+01,1.66E+01
92,-99.9935,-99.9917,6.85E-02,2.73E+01,5.69E+01,3.51E+01
93,-93.3242,-99.992,1.29E-01,4.66E+01,4.45E+01,6.18E+01
94,-86.6563,-99.9947,1.81E-01,4.80E+01,4.62E+01,6.55E+01
95,-79.989,-99.9979,2.26E-01,4.73E+01,4.68E+01,6.50E+01
96,-73.3222,-100.001,2.63E-01,4.49E+01,4.62E+01,6.28E+01
97,-66.656,-100.004,2.92E-01,4.17E+01,4.48E+01,6.00E+01
98,-59.9899,-100.007,3.16E-01,3.80E+01,4.28E+01,5.82E+01
99,-53.3241,-100.01,3.36E-01,3.44E+01,4.07E+01,5.79E+01
100,-46.6585,-100.012,3.52E-01,3.11E+01,3.86E+01,5.86E+01
101,-39.9928,-100.014,3.65E-01,2.81E+01,3.68E+01,5.97E+01
102,-33.3271,-100.015,3.76E-01,2.55E+01,3.53E+01,6.08E+01
103,-26.6615,-100.016,3.84E-01,2.33E+01,3.40E+01,6.19E+01
104,-19.9958,-100.017,3.91E-01,2.15E+01,3.31E+01,6.30E+01
105,-13.3301,-100.018,3.96E-01,2.01E+01,3.24E+01,6.39E+01
106,-6.66444,-100.019,3.99E-01,1.91E+01,3.19E+01,6.48E+01
107,0.0012746,-100.019,4.00E-01,1.84E+01,3.17E+01,6.55E+01
108,6.66699,-100.019,3.99E-01,1.80E+01,3.17E+01,6.61E+01
109,13.3327,-100.019,3.97E-01,1.85E+01,3.19E+01,6.66E+01
110,19.9984,-100.018,3.92E-01,2.01E+01,3.24E+01,6.70E+01
111,26.664,-100.018,3.85E-01,2.25E+01,3.31E+01,6.72E+01
112,33.3296,-100.017,3.76E-01,2.52E+01,3.39E+01,6.74E+01
113,39.9952,-100.015,3.65E-01,2.80E+01,3.51E+01,6.73E+01
114,46.6608,-100.014,3.53E-01,3.07E+01,3.64E+01,6.71E+01
115,53.3264,-100.012,3.38E-01,3.34E+01,3.79E+01,6.65E+01
116,59.9921,-100.01,3.21E-01,3.58E+01,3.95E+01,6.56E+01
117,66.6579,-100.008,2.99E-01,3.75E+01,4.11E+01,6.41E+01
118,73.3241,-100.006,2.73E-01,3.81E+01,4.24E+01,6.17E+01
119,79.9907,-100.004,2.41E-01,3.71E+01,4.31E+01,5.84E+01
120,86.658,-100.001,1.99E-01,3.56E+01,4.29E+01,5.50E+01
121,93.3262,-99.9988,1.45E-01,3.53E+01,4.09E+01,5.55E+01
122,-93.3581,0.000477978,7.79E-01,3.26E+01,4.21E+01,5.24E+01
123,-86.6959,0.000757301,1.19E+00,4.28E+01,4.71E+01,4.68E+01
124,-80.0327,0.000999009,1.62E+00,4.93E+01,5.08E+01,4.52E+01
125,-73.3686,0.00123058,2.06E+00,5.42E+01,5.40E+01,4.53E+01
126,-66.704,0.00145509,2.51E+00,5.88E+01,5.71E+01,4.59E+01
127,-60.0389,0.00167255,2.96E+00,6.38E+01,6.05E+01,4.66E+01
128,-53.3734,0.00185593,3.43E+00,6.96E+01,6.43E+01,4.71E+01
129,-46.7079,0.00198322,3.92E+00,7.70E+01,6.90E+01,4.73E+01
130,-40.0426,0.00196132,4.43E+00,8.70E+01,7.53E+01,4.72E+01
131,-33.3778,0.00169691,4.97E+00,1.01E+02,8.44E+01,4.71E+01
132,-26.7144,0.000848466,5.55E+00,1.24E+02,9.87E+01,4.84E+01
133,-20.0534,-0.00108123,6.18E+00,1.63E+02,1.24E+02,5.52E+01
134,-13.3981,-0.00609503,6.89E+00,2.52E+02,1.82E+02,7.09E+01
135,-6.73654,-0.0129262,7.67E+00,4.38E+02,3.03E+02,8.75E+01
136,0.00136306,-0.00073621,8.15E+00,5.58E+02,3.83E+02,9.29E+01
137,6.7372,0.0121304,7.65E+00,4.38E+02,3.04E+02,8.92E+01
138,13.3969,0.00586587,6.86E+00,2.55E+02,1.83E+02,7.55E+01
139,20.0518,0.000969572,6.15E+00,1.65E+02,1.25E+02,5.82E+01
140,26.7129,-0.000938939,5.52E+00,1.26E+02,1.00E+02,5.05E+01
141,33.3765,-0.00178049,4.95E+00,1.02E+02,8.53E+01,4.88E+01
142,40.0414,-0.0020482,4.41E+00,8.76E+01,7.60E+01,4.85E+01
143,46.7068,-0.00207986,3.91E+00,7.74E+01,6.95E+01,4.83E+01
144,53.3724,-0.00196412,3.42E+00,6.99E+01,6.46E+01,4.78E+01
145,60.038,-0.00179099,2.95E+00,6.40E+01,6.06E+01,4.72E+01
146,66.7033,-0.00157873,2.50E+00,5.91E+01,5.72E+01,4.64E+01
147,73.368,-0.00135454,2.05E+00,5.45E+01,5.40E+01,4.56E+01
148,80.0322,-0.00111797,1.62E+00,4.97E+01,5.08E+01,4.53E+01
149,86.6956,-0.000881763,1.19E+00,4.36E+01,4.73E+01,4.66E+01
150,93.3581,-0.000495476,7.79E-01,3.39E+01,4.15E+01,5.14E+01
151,0.0116183,6.73358,7.65E+00,4.41E+02,3.08E+02,8.77E+01
152,0.0041187,13.3956,6.87E+00,2.53E+02,1.89E+02,7.31E+01
153,-0.000572687,20.0518,6.16E+00,1.60E+02,1.28E+02,5.88E+01
154,-0.00248169,26.7131,5.53E+00,1.21E+02,1.01E+02,5.21E+01
155,-0.0032479,33.3767,4.96E+00,9.95E+01,8.60E+01,5.01E+01
156,-0.00340137,40.0416,4.42E+00,8.55E+01,7.65E+01,4.94E+01
157,-0.00331256,46.7071,3.91E+00,7.59E+01,6.99E+01,4.89E+01
158,-0.00307119,53.3727,3.43E+00,6.87E+01,6.50E+01,4.82E+01
159,-0.00277277,60.0383,2.96E+00,6.31E+01,6.11E+01,4.74E+01
160,-0.00243038,66.7036,2.50E+00,5.82E+01,5.77E+01,4.64E+01
161,-0.00208214,73.3683,2.06E+00,5.37E+01,5.46E+01,4.56E+01
162,-0.00169119,80.0324,1.62E+00,4.88E+01,5.13E+01,4.53E+01
163,-0.00140019,86.6957,1.19E+00,4.24E+01,4.81E+01,4.68E+01
164,-0.00066644,93.3582,7.77E-01,3.29E+01,4.23E+01,5.16E+01
165,-53.3736,6.66512,3.43E+00,6.82E+01,6.20E+01,5.89E+01
166,-53.3696,13.3284,3.39E+00,6.76E+01,6.01E+01,7.21E+01
167,-53.362,19.9914,3.30E+00,6.93E+01,5.79E+01,8.60E+01
168,-53.3517,26.6538,3.18E+00,7.44E+01,5.53E+01,9.96E+01
169,-53.3403,33.3164,3.03E+00,8.24E+01,5.23E+01,1.12E+02
170,-53.3295,39.9801,2.84E+00,9.09E+01,4.91E+01,1.22E+02
171,-53.3207,46.646,2.64E+00,9.62E+01,4.61E+01,1.28E+02
172,-53.3152,53.315,2.41E+00,9.58E+01,4.35E+01,1.26E+02
173,-53.3129,59.9867,2.16E+00,9.07E+01,4.11E+01,1.19E+02
174,-53.313,66.6598,1.89E+00,8.38E+01,3.88E+01,1.10E+02
175,-53.3145,73.333,1.60E+00,7.74E+01,3.63E+01,1.02E+02
176,-53.3167,80.0055,1.30E+00,7.21E+01,3.32E+01,9.48E+01
177,-53.3195,86.6767,9.78E-01,6.66E+01,2.97E+01,9.06E+01
178,-53.3222,93.3461,6.51E-01,5.94E+01,2.36E+01,8.98E+01
179,-59.9936,46.6456,2.35E+00,8.75E+01,4.36E+01,1.16E+02
180,-66.6668,46.6469,2.04E+00,7.95E+01,4.11E+01,1.05E+02
181,-73.3393,46.6489,1.72E+00,7.32E+01,3.82E+01,9.66E+01
182,-80.0108,46.6513,1.38E+00,6.80E+01,3.49E+01,9.02E+01
183,-86.6806,46.654,1.04E+00,6.25E+01,3.09E+01,8.65E+01
184,-93.3485,46.6568,6.91E-01,5.43E+01,2.56E+01,8.71E+01
185,-73.3465,39.9848,1.81E+00,6.79E+01,4.03E+01,8.98E+01
186,-73.3532,33.321,1.89E+00,6.32E+01,4.25E+01,8.27E+01
187,-73.3591,26.6573,1.96E+00,5.95E+01,4.46E+01,7.53E+01
188,-73.3638,19.9934,2.01E+00,5.70E+01,4.68E+01,6.78E+01
189,-73.3671,13.3294,2.04E+00,5.55E+01,4.90E+01,6.02E+01
190,-73.3687,6.66531,2.06E+00,5.46E+01,5.13E+01,5.26E+01
191,-66.6912,26.656,2.37E+00,6.32E+01,4.81E+01,8.09E+01
192,-60.0221,26.6548,2.77E+00,6.78E+01,5.17E+01,8.87E+01
193,-66.6836,33.3192,2.27E+00,6.77E+01,4.58E+01,8.96E+01
194,-66.6752,39.9827,2.17E+00,7.34E+01,4.35E+01,9.79E+01
195,-60.0126,33.3176,2.65E+00,7.37E+01,4.91E+01,9.91E+01
196,-60.0027,39.981,2.51E+00,8.09E+01,4.64E+01,1.09E+02
197,-66.702,13.329,2.48E+00,5.90E+01,5.24E+01,6.31E+01
198,-60.0361,13.3286,2.93E+00,6.29E+01,5.60E+01,6.69E+01
199,-66.6975,19.9926,2.44E+00,6.03E+01,5.03E+01,7.20E+01
200,-60.0302,19.9919,2.87E+00,6.42E+01,5.40E+01,7.79E+01
201,-66.7042,6.66519,2.51E+00,5.87E+01,5.46E+01,5.43E+01
202,-60.039,6.66512,2.96E+00,6.30E+01,5.80E+01,5.64E+01
203,-93.3554,26.6614,7.55E-01,4.21E+01,3.17E+01,7.27E+01
204,-86.6914,26.66,1.15E+00,5.08E+01,3.70E+01,7.00E+01
205,-80.0259,26.6586,1.55E+00,5.58E+01,4.10E+01,7.15E+01
206,-86.6884,33.3247,1.12E+00,5.42E+01,3.48E+01,7.56E+01
207,-86.6847,39.9893,1.08E+00,5.82E+01,3.28E+01,8.11E+01
208,-93.3535,33.3266,7.38E-01,4.57E+01,2.95E+01,7.76E+01
209,-93.3512,39.9917,7.16E-01,4.98E+01,2.74E+01,8.24E+01
210,-80.0215,33.3228,1.50E+00,5.92E+01,3.89E+01,7.79E+01
211,-80.0164,39.987,1.45E+00,6.34E+01,3.68E+01,8.41E+01
212,-93.3577,13.331,7.76E-01,3.65E+01,3.66E+01,6.27E+01
213,-86.6952,13.3304,1.19E+00,4.59E+01,4.17E+01,5.85E+01
214,-80.0316,13.3299,1.61E+00,5.15E+01,4.55E+01,5.83E+01
215,-86.6937,19.9953,1.17E+00,4.81E+01,3.93E+01,6.43E+01
216,-93.3568,19.9962,7.67E-01,3.90E+01,3.41E+01,6.78E+01
217,-80.0293,19.9943,1.59E+00,5.33E+01,4.32E+01,6.49E+01
218,-86.696,6.6656,1.19E+00,4.42E+01,4.42E+01,5.26E+01
219,-93.3582,6.66573,7.80E-01,3.44E+01,3.92E+01,5.76E+01
220,-80.0327,6.66545,1.62E+00,5.02E+01,4.80E+01,5.17E+01
221,-59.9806,73.3266,1.47E+00,8.09E+01,3.42E+01,1.06E+02
222,-66.6483,73.3215,1.33E+00,8.20E+01,3.23E+01,1.07E+02
223,-73.318,73.3182,1.16E+00,8.04E+01,3.03E+01,1.06E+02
224,-79.9896,73.3169,9.74E-01,7.73E+01,2.82E+01,1.03E+02
225,-86.6624,73.3176,7.63E-01,7.35E+01,2.54E+01,1.01E+02
226,-93.3349,73.3197,5.31E-01,6.82E+01,2.09E+01,1.02E+02
227,-73.3211,66.6481,1.33E+00,8.20E+01,3.22E+01,1.07E+02
228,-73.326,59.9801,1.48E+00,8.12E+01,3.41E+01,1.06E+02
229,-73.3323,53.3138,1.60E+00,7.80E+01,3.61E+01,1.02E+02
230,-66.6533,59.9799,1.72E+00,8.65E+01,3.64E+01,1.13E+02
231,-59.982,59.9819,1.95E+00,9.03E+01,3.87E+01,1.18E+02
232,-66.6497,66.6497,1.54E+00,8.53E+01,3.43E+01,1.11E+02
233,-59.9802,66.6536,1.72E+00,8.62E+01,3.65E+01,1.12E+02
234,-66.6593,53.3124,1.89E+00,8.43E+01,3.87E+01,1.11E+02
235,-59.9864,53.3125,2.16E+00,9.11E+01,4.10E+01,1.19E+02
236,-93.3422,59.9874,6.25E-01,6.32E+01,2.26E+01,9.59E+01
237,-86.6715,59.9843,9.23E-01,7.08E+01,2.78E+01,9.62E+01
238,-79.9991,59.9817,1.21E+00,7.60E+01,3.14E+01,1.00E+02
239,-86.6667,66.6504,8.50E-01,7.32E+01,2.65E+01,9.96E+01
240,-93.3386,66.6533,5.83E-01,6.66E+01,2.15E+01,9.95E+01
241,-79.9938,66.6485,1.10E+00,7.78E+01,2.97E+01,1.03E+02
242,-86.6762,53.3189,9.84E-01,6.69E+01,2.92E+01,9.17E+01
243,-93.3455,53.322,6.61E-01,5.89E+01,2.39E+01,9.17E+01
244,-80.0049,53.3161,1.30E+00,7.25E+01,3.31E+01,9.58E+01
245,-73.3199,93.3358,5.19E-01,7.01E+01,2.04E+01,9.93E+01
246,-73.3178,86.663,7.57E-01,7.44E+01,2.56E+01,1.00E+02
247,-73.317,79.9901,9.72E-01,7.76E+01,2.82E+01,1.03E+02
248,-66.6509,86.6674,8.44E-01,7.36E+01,2.67E+01,9.85E+01
249,-59.9848,86.6721,9.16E-01,7.07E+01,2.81E+01,9.51E+01
250,-66.6535,93.3394,5.71E-01,6.78E+01,2.11E+01,9.72E+01
251,-59.9876,93.3429,6.15E-01,6.40E+01,2.22E+01,9.38E+01
252,-66.6489,79.9945,1.10E+00,7.80E+01,2.98E+01,1.02E+02
253,-59.9822,79.9998,1.21E+00,7.59E+01,3.14E+01,9.94E+01
254,-93.3279,86.6559,3.85E-01,6.35E+01,2.02E+01,1.01E+02
255,-86.6563,86.6567,5.30E-01,6.85E+01,2.28E+01,9.96E+01
256,-79.9863,86.6593,6.53E-01,7.26E+01,2.44E+01,1.00E+02
257,-86.6558,93.329,3.76E-01,6.67E+01,1.96E+01,9.90E+01
258,-93.3254,93.3264,2.79E-01,5.90E+01,1.88E+01,1.01E+02
259,-79.9872,93.3323,4.55E-01,7.00E+01,2.00E+01,9.99E+01
260,-86.6587,79.9862,6.57E-01,7.16E+01,2.42E+01,1.01E+02
261,-93.3312,79.9871,4.67E-01,6.72E+01,2.05E+01,1.02E+02
262,-79.987,79.9872,8.26E-01,7.52E+01,2.64E+01,1.02E+02
263,-6.66656,46.7075,3.91E+00,7.35E+01,6.74E+01,6.39E+01
264,-13.3298,46.7025,3.86E+00,7.27E+01,6.55E+01,8.10E+01
265,-19.9926,46.6929,3.74E+00,7.56E+01,6.30E+01,9.85E+01
266,-26.6547,46.6805,3.59E+00,8.32E+01,5.96E+01,1.15E+02
267,-33.3172,46.6676,3.39E+00,9.34E+01,5.57E+01,1.29E+02
268,-39.9817,46.6566,3.16E+00,1.01E+02,5.19E+01,1.37E+02
269,-46.6496,46.6493,2.91E+00,1.02E+02,4.87E+01,1.36E+02
270,-26.655,40.0077,3.99E+00,9.73E+01,6.34E+01,1.37E+02
271,-26.657,33.3344,4.39E+00,1.15E+02,6.76E+01,1.63E+02
272,-26.6637,26.6629,4.77E+00,1.27E+02,7.32E+01,1.84E+02
273,-26.6788,19.9966,5.11E+00,1.26E+02,8.09E+01,1.81E+02
274,-26.699,13.3333,5.38E+00,1.18E+02,8.91E+01,1.45E+02
275,-26.7139,6.66752,5.54E+00,1.18E+02,9.46E+01,9.19E+01
276,-19.9981,26.6786,5.11E+00,1.24E+02,8.16E+01,1.81E+02
277,-13.3348,26.6987,5.38E+00,1.15E+02,9.07E+01,1.47E+02
278,-6.66905,26.7129,5.53E+00,1.15E+02,9.67E+01,9.63E+01
279,-13.3319,33.3674,4.85E+00,9.46E+01,7.95E+01,1.13E+02
280,-13.3305,40.0352,4.34E+00,8.14E+01,7.15E+01,9.32E+01
281,-19.9945,33.3512,4.65E+00,1.03E+02,7.39E+01,1.44E+02
282,-19.993,40.0227,4.20E+00,8.65E+01,6.81E+01,1.17E+02
283,-6.66767,33.3771,4.96E+00,9.51E+01,8.28E+01,7.89E+01
284,-6.66696,40.0421,4.42E+00,8.22E+01,7.38E+01,6.95E+01
285,-13.3875,6.67952,6.82E+00,2.24E+02,1.72E+02,1.54E+02
286,-13.358,13.357,6.43E+00,1.79E+02,1.40E+02,2.19E+02
287,-13.3412,20.0286,5.91E+00,1.44E+02,1.09E+02,1.94E+02
288,-20.0291,13.3398,5.92E+00,1.47E+02,1.08E+02,1.93E+02
289,-20.0509,6.67071,6.16E+00,1.54E+02,1.19E+02,1.24E+02
290,-20.0081,20.0073,5.54E+00,1.41E+02,9.32E+01,2.09E+02
291,-6.68102,13.386,6.81E+00,2.21E+02,1.76E+02,1.58E+02
292,-6.70763,6.70552,7.42E+00,3.55E+02,2.56E+02,1.14E+02
293,-6.67221,20.0498,6.14E+00,1.50E+02,1.22E+02,1.29E+02
294,-46.6802,26.6532,3.59E+00,8.44E+01,5.90E+01,1.15E+02
295,-40.0075,26.6535,3.99E+00,9.88E+01,6.28E+01,1.37E+02
296,-33.3345,26.6557,4.39E+00,1.16E+02,6.72E+01,1.64E+02
297,-39.9942,33.3172,3.75E+00,1.09E+02,5.84E+01,1.49E+02
298,-39.9855,39.9849,3.47E+00,1.09E+02,5.48E+01,1.48E+02
299,-46.6673,33.3159,3.39E+00,9.46E+01,5.53E+01,1.29E+02
300,-46.6565,39.9808,3.16E+00,1.02E+02,5.17E+01,1.37E+02
