NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9259,-99.9261,1.40E+00,4.08E+02,1.01E+02,4.56E+02
3,99.9288,-93.2445,1.67E+00,4.21E+02,1.08E+02,4.66E+02
4,99.938,-86.5708,1.89E+00,4.30E+02,1.15E+02,4.72E+02
5,99.9506,-79.9028,2.07E+00,4.31E+02,1.23E+02,4.69E+02
6,99.9656,-73.2392,2.23E+00,4.22E+02,1.31E+02,4.58E+02
7,99.9816,-66.5786,2.36E+00,4.07E+02,1.40E+02,4.41E+02
8,99.9977,-59.9198,2.48E+00,3.89E+02,1.49E+02,4.21E+02
9,100.013,-53.2621,2.58E+00,3.69E+02,1.59E+02,3.99E+02
10,100.028,-46.6049,2.66E+00,3.49E+02,1.69E+02,3.77E+02
11,100.041,-39.9477,2.73E+00,3.30E+02,1.79E+02,3.56E+02
12,100.052,-33.2904,2.79E+00,3.13E+02,1.89E+02,3.35E+02
13,100.061,-26.6329,2.84E+00,2.97E+02,2.00E+02,3.15E+02
14,100.068,-19.9751,2.88E+00,2.82E+02,2.11E+02,2.96E+02
15,100.074,-13.3171,2.91E+00,2.69E+02,2.22E+02,2.78E+02
16,100.077,-6.659,2.93E+00,2.56E+02,2.34E+02,2.61E+02
17,100.078,-0.000802295,2.93E+00,2.45E+02,2.47E+02,2.44E+02
18,100.077,6.65739,2.93E+00,2.35E+02,2.61E+02,2.27E+02
19,100.073,13.3155,2.91E+00,2.25E+02,2.75E+02,2.10E+02
20,100.068,19.9734,2.88E+00,2.16E+02,2.90E+02,1.94E+02
21,100.06,26.6312,2.84E+00,2.08E+02,3.07E+02,1.77E+02
22,100.051,33.2886,2.79E+00,2.00E+02,3.24E+02,1.61E+02
23,100.039,39.9458,2.73E+00,1.93E+02,3.43E+02,1.45E+02
24,100.026,46.6029,2.65E+00,1.86E+02,3.63E+02,1.28E+02
25,100.011,53.26,2.56E+00,1.80E+02,3.84E+02,1.11E+02
26,99.9944,59.9175,2.46E+00,1.75E+02,4.06E+02,9.40E+01
27,99.9775,66.5761,2.34E+00,1.70E+02,4.25E+02,7.71E+01
28,99.9609,73.2366,2.20E+00,1.65E+02,4.42E+02,6.08E+01
29,99.9454,79.9,2.04E+00,1.61E+02,4.52E+02,4.68E+01
30,99.9326,86.5678,1.84E+00,1.58E+02,4.54E+02,3.81E+01
31,99.9239,93.2412,1.61E+00,1.54E+02,4.46E+02,3.78E+01
32,99.922,99.9222,1.34E+00,1.50E+02,4.35E+02,4.53E+01
33,93.2396,99.923,1.61E+00,1.54E+02,4.52E+02,3.79E+01
34,86.5645,99.9305,1.84E+00,1.57E+02,4.65E+02,3.80E+01
35,79.8953,99.9424,2.04E+00,1.60E+02,4.67E+02,4.59E+01
36,73.2309,99.9575,2.20E+00,1.64E+02,4.58E+02,5.91E+01
37,66.57,99.9742,2.35E+00,1.68E+02,4.41E+02,7.47E+01
38,59.9114,99.9915,2.47E+00,1.73E+02,4.20E+02,9.14E+01
39,53.2541,100.008,2.57E+00,1.78E+02,3.97E+02,1.08E+02
40,46.5974,100.024,2.66E+00,1.84E+02,3.74E+02,1.25E+02
41,39.9407,100.038,2.73E+00,1.90E+02,3.52E+02,1.42E+02
42,33.2838,100.051,2.80E+00,1.96E+02,3.32E+02,1.58E+02
43,26.6267,100.061,2.85E+00,2.04E+02,3.13E+02,1.75E+02
44,19.9692,100.069,2.89E+00,2.12E+02,2.95E+02,1.91E+02
45,13.3114,100.075,2.91E+00,2.20E+02,2.79E+02,2.07E+02
46,6.65334,100.079,2.93E+00,2.29E+02,2.65E+02,2.23E+02
47,-0.00483499,100.08,2.93E+00,2.39E+02,2.51E+02,2.40E+02
48,-6.66305,100.079,2.93E+00,2.49E+02,2.38E+02,2.56E+02
49,-13.3212,100.077,2.91E+00,2.61E+02,2.25E+02,2.73E+02
50,-19.9792,100.072,2.88E+00,2.74E+02,2.13E+02,2.91E+02
51,-26.637,100.064,2.84E+00,2.89E+02,2.02E+02,3.09E+02
52,-33.2945,100.055,2.79E+00,3.04E+02,1.91E+02,3.28E+02
53,-39.9517,100.044,2.73E+00,3.22E+02,1.81E+02,3.48E+02
54,-46.6087,100.031,2.66E+00,3.41E+02,1.70E+02,3.69E+02
55,-53.2654,100.016,2.57E+00,3.61E+02,1.61E+02,3.91E+02
56,-59.9224,99.9997,2.48E+00,3.81E+02,1.51E+02,4.13E+02
57,-66.5801,99.9827,2.36E+00,4.01E+02,1.42E+02,4.34E+02
58,-73.2393,99.9654,2.23E+00,4.19E+02,1.33E+02,4.53E+02
59,-79.9013,99.949,2.08E+00,4.30E+02,1.24E+02,4.68E+02
60,-86.5678,99.9349,1.90E+00,4.33E+02,1.16E+02,4.74E+02
61,-93.2406,99.9248,1.68E+00,4.26E+02,1.08E+02,4.70E+02
62,-99.922,99.9217,1.42E+00,4.15E+02,1.01E+02,4.62E+02
63,-99.9242,93.2391,1.69E+00,4.31E+02,1.08E+02,4.75E+02
64,-99.9331,86.5648,1.91E+00,4.43E+02,1.15E+02,4.84E+02
65,-99.9462,79.897,2.09E+00,4.43E+02,1.23E+02,4.82E+02
66,-99.9621,73.234,2.24E+00,4.33E+02,1.31E+02,4.70E+02
67,-99.9792,66.5743,2.38E+00,4.16E+02,1.40E+02,4.50E+02
68,-99.9966,59.9165,2.49E+00,3.95E+02,1.50E+02,4.27E+02
69,-100.013,53.2598,2.59E+00,3.73E+02,1.59E+02,4.03E+02
70,-100.029,46.6033,2.67E+00,3.51E+02,1.69E+02,3.79E+02
71,-100.043,39.9467,2.75E+00,3.31E+02,1.79E+02,3.56E+02
72,-100.054,33.2899,2.81E+00,3.13E+02,1.89E+02,3.35E+02
73,-100.064,26.6327,2.86E+00,2.96E+02,2.00E+02,3.14E+02
74,-100.072,19.9751,2.89E+00,2.81E+02,2.11E+02,2.95E+02
75,-100.077,13.3172,2.92E+00,2.67E+02,2.22E+02,2.77E+02
76,-100.081,6.65914,2.94E+00,2.55E+02,2.34E+02,2.59E+02
77,-100.082,0.00094898,2.94E+00,2.44E+02,2.46E+02,2.42E+02
78,-100.08,-6.65723,2.94E+00,2.34E+02,2.60E+02,2.26E+02
79,-100.077,-13.3152,2.92E+00,2.25E+02,2.74E+02,2.09E+02
80,-100.071,-19.973,2.89E+00,2.16E+02,2.90E+02,1.93E+02
81,-100.063,-26.6305,2.85E+00,2.08E+02,3.07E+02,1.77E+02
