NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,100.001,-100.001,1.10E-01,1.30E+00,9.49E-01,3.18E+00
3,100.001,-93.3343,1.29E-01,1.25E+00,9.98E-01,3.16E+00
4,100.002,-86.6676,1.47E-01,1.19E+00,1.03E+00,3.11E+00
5,100.002,-80.0008,1.64E-01,1.12E+00,1.05E+00,3.04E+00
6,100.002,-73.3341,1.80E-01,1.04E+00,1.06E+00,2.93E+00
7,100.003,-66.6674,1.95E-01,9.48E-01,1.05E+00,2.79E+00
8,100.003,-60.0006,2.08E-01,8.32E-01,1.04E+00,2.59E+00
9,100.003,-53.3338,2.19E-01,6.89E-01,1.01E+00,2.35E+00
10,100.003,-46.6671,2.28E-01,5.20E-01,9.65E-01,2.07E+00
11,100.004,-40.0002,2.35E-01,3.33E-01,9.01E-01,1.76E+00
12,100.004,-33.3334,2.39E-01,1.97E-01,8.16E-01,1.42E+00
13,100.004,-26.6666,2.39E-01,2.12E-01,7.11E-01,1.08E+00
14,100.004,-19.9998,2.37E-01,3.67E-01,5.93E-01,7.62E-01
15,100.004,-13.3329,2.33E-01,5.53E-01,4.70E-01,5.04E-01
16,100.004,-6.66618,2.25E-01,7.11E-01,3.54E-01,3.71E-01
17,100.003,0.000575557,2.16E-01,8.35E-01,2.56E-01,3.89E-01
18,100.003,6.66729,2.05E-01,9.25E-01,1.83E-01,4.95E-01
19,100.003,13.334,1.92E-01,9.87E-01,1.39E-01,6.20E-01
20,100.003,20.0006,1.78E-01,1.03E+00,1.18E-01,7.32E-01
21,100.003,26.6673,1.64E-01,1.05E+00,1.14E-01,8.24E-01
22,100.002,33.3339,1.49E-01,1.05E+00,1.22E-01,8.96E-01
23,100.002,40.0005,1.34E-01,1.04E+00,1.45E-01,9.48E-01
24,100.002,46.6671,1.19E-01,1.02E+00,1.80E-01,9.81E-01
25,100.001,53.3337,1.04E-01,9.96E-01,2.24E-01,9.95E-01
26,100.001,60.0003,9.00E-02,9.57E-01,2.71E-01,9.89E-01
27,100.001,66.6669,7.63E-02,9.07E-01,3.20E-01,9.65E-01
28,100.001,73.3335,6.34E-02,8.45E-01,3.66E-01,9.21E-01
29,100,80.0001,5.14E-02,7.72E-01,4.09E-01,8.59E-01
30,100,86.6667,4.04E-02,6.88E-01,4.50E-01,7.79E-01
31,100,93.3333,3.06E-02,5.93E-01,4.90E-01,6.85E-01
32,99.9999,99.9999,2.21E-02,4.89E-01,5.36E-01,5.82E-01
33,93.3333,100,3.06E-02,5.92E-01,4.90E-01,6.84E-01
34,86.6667,100,4.04E-02,6.87E-01,4.50E-01,7.78E-01
35,80.0001,100,5.14E-02,7.72E-01,4.10E-01,8.58E-01
36,73.3335,100.001,6.34E-02,8.45E-01,3.67E-01,9.20E-01
37,66.6669,100.001,7.63E-02,9.06E-01,3.21E-01,9.64E-01
38,60.0003,100.001,8.99E-02,9.56E-01,2.73E-01,9.89E-01
39,53.3337,100.001,1.04E-01,9.95E-01,2.25E-01,9.94E-01
40,46.6671,100.002,1.19E-01,1.02E+00,1.82E-01,9.80E-01
41,40.0005,100.002,1.34E-01,1.04E+00,1.47E-01,9.47E-01
42,33.3339,100.002,1.49E-01,1.05E+00,1.24E-01,8.95E-01
43,26.6673,100.003,1.64E-01,1.04E+00,1.16E-01,8.23E-01
44,20.0006,100.003,1.78E-01,1.02E+00,1.21E-01,7.31E-01
45,13.334,100.003,1.92E-01,9.86E-01,1.42E-01,6.19E-01
46,6.66729,100.003,2.04E-01,9.25E-01,1.86E-01,4.94E-01
47,0.000574349,100.003,2.16E-01,8.34E-01,2.59E-01,3.87E-01
48,-6.66618,100.004,2.25E-01,7.11E-01,3.58E-01,3.70E-01
49,-13.3329,100.004,2.33E-01,5.53E-01,4.74E-01,5.04E-01
50,-19.9998,100.004,2.37E-01,3.67E-01,5.97E-01,7.63E-01
51,-26.6666,100.004,2.39E-01,2.14E-01,7.15E-01,1.08E+00
52,-33.3334,100.004,2.38E-01,1.98E-01,8.20E-01,1.42E+00
53,-40.0002,100.004,2.35E-01,3.33E-01,9.05E-01,1.76E+00
54,-46.667,100.003,2.28E-01,5.19E-01,9.69E-01,2.07E+00
55,-53.3338,100.003,2.19E-01,6.89E-01,1.01E+00,2.35E+00
56,-60.0006,100.003,2.08E-01,8.31E-01,1.04E+00,2.59E+00
57,-66.6674,100.003,1.95E-01,9.48E-01,1.06E+00,2.79E+00
58,-73.3341,100.002,1.80E-01,1.04E+00,1.06E+00,2.94E+00
59,-80.0008,100.002,1.64E-01,1.12E+00,1.05E+00,3.04E+00
60,-86.6676,100.002,1.47E-01,1.19E+00,1.03E+00,3.12E+00
61,-93.3343,100.001,1.28E-01,1.25E+00,1.00E+00,3.16E+00
62,-100.001,100.001,1.10E-01,1.30E+00,9.51E-01,3.18E+00
63,-100.001,93.3343,1.28E-01,1.25E+00,1.00E+00,3.16E+00
64,-100.002,86.6676,1.47E-01,1.19E+00,1.03E+00,3.12E+00
65,-100.002,80.0008,1.64E-01,1.12E+00,1.05E+00,3.04E+00
66,-100.002,73.3341,1.80E-01,1.04E+00,1.06E+00,2.94E+00
67,-100.003,66.6674,1.95E-01,9.49E-01,1.05E+00,2.79E+00
68,-100.003,60.0006,2.08E-01,8.32E-01,1.04E+00,2.59E+00
69,-100.003,53.3338,2.19E-01,6.90E-01,1.01E+00,2.35E+00
70,-100.003,46.667,2.28E-01,5.21E-01,9.66E-01,2.07E+00
71,-100.004,40.0002,2.35E-01,3.34E-01,9.01E-01,1.76E+00
72,-100.004,33.3334,2.38E-01,1.98E-01,8.16E-01,1.42E+00
73,-100.004,26.6666,2.39E-01,2.12E-01,7.11E-01,1.08E+00
74,-100.004,19.9998,2.37E-01,3.66E-01,5.92E-01,7.62E-01
75,-100.004,13.3329,2.33E-01,5.52E-01,4.69E-01,5.03E-01
76,-100.004,6.66617,2.25E-01,7.10E-01,3.53E-01,3.71E-01
77,-100.004,-0.000575672,2.16E-01,8.34E-01,2.55E-01,3.88E-01
78,-100.003,-6.6673,2.05E-01,9.25E-01,1.82E-01,4.95E-01
79,-100.003,-13.3339,1.92E-01,9.86E-01,1.39E-01,6.20E-01
80,-100.003,-20.0006,1.78E-01,1.02E+00,1.18E-01,7.32E-01
81,-100.003,-26.6673,1.64E-01,1.04E+00,1.14E-01,8.24E-01
82,-100.002,-33.3339,1.49E-01,1.05E+00,1.22E-01,8.96E-01
83,-100.002,-40.0005,1.34E-01,1.04E+00,1.45E-01,9.48E-01
84,-100.002,-46.6671,1.19E-01,1.02E+00,1.80E-01,9.81E-01
85,-100.001,-53.3337,1.04E-01,9.95E-01,2.24E-01,9.94E-01
86,-100.001,-60.0003,8.99E-02,9.56E-01,2.72E-01,9.89E-01
87,-100.001,-66.6669,7.63E-02,9.06E-01,3.20E-01,9.64E-01
88,-100.001,-73.3334,6.34E-02,8.45E-01,3.67E-01,9.21E-01
89,-100,-80.0001,5.14E-02,7.72E-01,4.10E-01,8.58E-01
90,-100,-86.6667,4.04E-02,6.88E-01,4.50E-01,7.79E-01
91,-100,-93.3332,3.06E-02,5.92E-01,4.90E-01,6.85E-01
92,-99.9999,-99.9999,2.21E-02,4.89E-01,5.36E-01,5.82E-01
93,-93.3332,-100,3.06E-02,5.92E-01,4.91E-01,6.84E-01
94,-86.6667,-100,4.04E-02,6.87E-01,4.50E-01,7.78E-01
95,-80.0001,-100,5.14E-02,7.72E-01,4.10E-01,8.58E-01
96,-73.3334,-100.001,6.34E-02,8.45E-01,3.68E-01,9.21E-01
97,-66.6669,-100.001,7.63E-02,9.06E-01,3.21E-01,9.64E-01
98,-60.0003,-100.001,8.99E-02,9.56E-01,2.73E-01,9.89E-01
99,-53.3337,-100.001,1.04E-01,9.95E-01,2.25E-01,9.94E-01
100,-46.6671,-100.002,1.19E-01,1.02E+00,1.82E-01,9.80E-01
101,-40.0005,-100.002,1.34E-01,1.04E+00,1.47E-01,9.47E-01
102,-33.3339,-100.002,1.49E-01,1.05E+00,1.24E-01,8.95E-01
103,-26.6673,-100.003,1.64E-01,1.04E+00,1.16E-01,8.23E-01
104,-20.0006,-100.003,1.78E-01,1.02E+00,1.21E-01,7.31E-01
105,-13.3339,-100.003,1.92E-01,9.86E-01,1.42E-01,6.19E-01
106,-6.66729,-100.003,2.05E-01,9.25E-01,1.87E-01,4.94E-01
107,-0.000574698,-100.003,2.16E-01,8.34E-01,2.60E-01,3.87E-01
108,6.66617,-100.004,2.25E-01,7.11E-01,3.58E-01,3.70E-01
109,13.3329,-100.004,2.33E-01,5.53E-01,4.74E-01,5.04E-01
110,19.9998,-100.004,2.37E-01,3.67E-01,5.97E-01,7.63E-01
111,26.6666,-100.004,2.39E-01,2.14E-01,7.15E-01,1.08E+00
112,33.3334,-100.004,2.38E-01,1.98E-01,8.20E-01,1.42E+00
113,40.0002,-100.004,2.35E-01,3.33E-01,9.05E-01,1.76E+00
114,46.667,-100.003,2.28E-01,5.19E-01,9.69E-01,2.07E+00
115,53.3338,-100.003,2.19E-01,6.89E-01,1.01E+00,2.35E+00
116,60.0006,-100.003,2.08E-01,8.32E-01,1.04E+00,2.59E+00
117,66.6674,-100.003,1.95E-01,9.48E-01,1.06E+00,2.79E+00
118,73.3341,-100.002,1.80E-01,1.04E+00,1.06E+00,2.93E+00
119,80.0008,-100.002,1.64E-01,1.12E+00,1.05E+00,3.04E+00
120,86.6676,-100.002,1.47E-01,1.19E+00,1.03E+00,3.11E+00
121,93.3343,-100.001,1.29E-01,1.25E+00,9.99E-01,3.16E+00
122,-93.3371,-0.000681242,2.67E-01,1.16E+00,4.39E-01,5.21E-01
123,-86.6707,-0.000784536,3.21E-01,1.48E+00,6.36E-01,7.08E-01
124,-80.0042,-0.000884678,3.78E-01,1.80E+00,8.41E-01,9.09E-01
125,-73.3377,-0.000980801,4.37E-01,2.13E+00,1.06E+00,1.12E+00
126,-66.6713,-0.00107184,4.98E-01,2.49E+00,1.29E+00,1.34E+00
127,-60.0047,-0.00115626,5.59E-01,2.88E+00,1.55E+00,1.58E+00
128,-53.3381,-0.00123168,6.21E-01,3.32E+00,1.85E+00,1.84E+00
129,-46.6716,-0.00129445,6.84E-01,3.84E+00,2.20E+00,2.16E+00
130,-40.0049,-0.00133895,7.46E-01,4.44E+00,2.62E+00,2.54E+00
