NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9771,-99.9771,2.96E+00,56.01,21.72,67.73
3,99.979,-93.3089,3.12E+00,56.56,22.42,68.49
4,99.982,-86.6416,3.28E+00,56.03,23.21,68.1
5,99.9858,-79.9752,3.42E+00,54.44,24.09,66.54
6,99.9903,-73.3095,3.55E+00,52.06,25,64.06
7,99.9954,-66.6446,3.68E+00,49.23,25.91,60.99
8,100.001,-59.98,3.79E+00,46.3,26.8,57.63
9,100.006,-53.3158,3.89E+00,43.54,27.65,54.2
10,100.011,-46.6517,3.99E+00,41.11,28.46,50.81
11,100.016,-39.9877,4.07E+00,39.13,29.25,47.5
12,100.02,-33.3235,4.14E+00,37.63,30.01,44.25
13,100.024,-26.6594,4.20E+00,36.59,30.74,41.06
14,100.027,-19.9951,4.24E+00,35.94,31.46,37.92
15,100.028,-13.3307,4.27E+00,35.59,32.19,34.87
16,100.029,-6.66629,4.28E+00,35.45,32.99,31.93
17,100.029,-0.00189806,4.28E+00,35.43,33.9,29.12
18,100.028,6.66243,4.27E+00,35.46,34.97,26.46
19,100.026,13.3267,4.24E+00,35.52,36.25,23.96
20,100.023,19.9908,4.20E+00,35.56,37.77,21.59
21,100.019,26.6548,4.15E+00,35.56,39.58,19.36
22,100.015,33.3187,4.09E+00,35.51,41.69,17.26
23,100.01,39.9825,4.01E+00,35.39,44.15,15.29
24,100.005,46.6463,3.92E+00,35.17,46.94,13.44
25,99.9993,53.3101,3.82E+00,34.85,50.03,11.72
26,99.9937,59.9741,3.72E+00,34.4,53.33,10.13
27,99.9882,66.6385,3.60E+00,33.82,56.66,8.678
28,99.9831,73.3033,3.47E+00,33.13,59.76,7.384
29,99.9786,79.9689,3.34E+00,32.35,62.3,6.28
30,99.975,86.6353,3.19E+00,31.53,63.95,5.42
31,99.9724,93.3026,3.04E+00,30.71,64.47,4.868
32,99.9708,99.9709,2.88E+00,29.93,63.88,4.642
33,93.3024,99.9724,3.04E+00,30.69,64.61,4.851
34,86.635,99.9749,3.19E+00,31.49,64.23,5.386
35,79.9685,99.9784,3.34E+00,32.29,62.71,6.233
36,73.3029,99.9828,3.47E+00,33.05,60.26,7.329
37,66.638,99.9879,3.60E+00,33.73,57.2,8.619
38,59.9736,99.9934,3.72E+00,34.3,53.87,10.07
39,53.3095,99.9991,3.83E+00,34.73,50.53,11.67
40,46.6457,100.005,3.92E+00,35.04,47.34,13.4
41,39.9819,100.01,4.01E+00,35.24,44.44,15.27
42,33.318,100.015,4.09E+00,35.35,41.89,17.27
43,26.6542,100.019,4.15E+00,35.37,39.7,19.4
44,19.9902,100.023,4.21E+00,35.35,37.85,21.64
45,13.3261,100.026,4.25E+00,35.28,36.3,24.01
46,6.66186,100.028,4.27E+00,35.2,35.01,26.52
47,-0.00244092,100.029,4.29E+00,35.14,33.94,29.16
48,-6.66681,100.029,4.29E+00,35.15,33.03,31.94
49,-13.3312,100.029,4.27E+00,35.3,32.24,34.86
50,-19.9956,100.027,4.24E+00,35.66,31.51,37.88
51,-26.6599,100.024,4.20E+00,36.32,30.8,41
52,-33.324,100.021,4.14E+00,37.39,30.07,44.19
53,-39.9882,100.016,4.07E+00,38.91,29.31,47.43
54,-46.6522,100.012,3.99E+00,40.9,28.52,50.72
55,-53.3162,100.006,3.90E+00,43.31,27.7,54.09
56,-59.9804,100.001,3.79E+00,46.06,26.84,57.48
57,-66.6449,99.9957,3.68E+00,48.96,25.95,60.8
58,-73.3097,99.9905,3.55E+00,51.77,25.03,63.84
59,-79.9753,99.9859,3.42E+00,54.14,24.11,66.3
60,-86.6417,99.982,3.28E+00,55.72,23.22,67.85
61,-93.3088,99.979,3.12E+00,56.26,22.41,68.26
62,-99.9771,99.977,2.96E+00,55.75,21.72,67.53
63,-99.979,93.3087,3.13E+00,56.33,22.41,68.39
64,-99.9819,86.6413,3.28E+00,55.83,23.21,68.07
65,-99.9857,79.9748,3.43E+00,54.25,24.08,66.54
66,-99.9903,73.3091,3.56E+00,51.85,25,64.05
67,-99.9955,66.6441,3.69E+00,48.99,25.91,60.94
68,-100.001,59.9796,3.80E+00,46.02,26.79,57.53
69,-100.006,53.3154,3.90E+00,43.21,27.64,54.03
70,-100.012,46.6513,4.00E+00,40.74,28.45,50.58
71,-100.016,39.9872,4.08E+00,38.74,29.23,47.21
72,-100.021,33.3231,4.15E+00,37.24,29.98,43.93
73,-100.024,26.6589,4.21E+00,36.21,30.71,40.72
74,-100.027,19.9946,4.25E+00,35.58,31.42,37.58
75,-100.029,13.3303,4.28E+00,35.25,32.14,34.54
76,-100.03,6.66587,4.29E+00,35.12,32.93,31.63
77,-100.03,0.00149028,4.29E+00,35.11,33.83,28.86
78,-100.029,-6.66283,4.28E+00,35.16,34.9,26.24
79,-100.027,-13.327,4.25E+00,35.23,36.19,23.77
80,-100.024,-19.9911,4.21E+00,35.28,37.73,21.42
81,-100.02,-26.6551,4.15E+00,35.3,39.57,19.21
82,-100.016,-33.3189,4.09E+00,35.26,41.73,17.12
83,-100.011,-39.9827,4.01E+00,35.15,44.25,15.14
84,-100.005,-46.6465,3.92E+00,34.95,47.12,13.29
85,-99.9997,-53.3102,3.82E+00,34.64,50.3,11.56
86,-99.994,-59.9742,3.71E+00,34.21,53.68,9.964
87,-99.9884,-66.6386,3.59E+00,33.66,57.08,8.517
88,-99.9833,-73.3034,3.47E+00,32.99,60.23,7.238
89,-99.9788,-79.9689,3.33E+00,32.25,62.76,6.167
