NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9409,-99.9411,3.39E+00,1.47E+02,4.92E+01,1.67E+02
3,99.9439,-93.2702,3.62E+00,1.49E+02,5.11E+01,1.69E+02
4,99.9494,-86.6018,3.84E+00,1.47E+02,5.33E+01,1.68E+02
5,99.9571,-79.9355,4.04E+00,1.44E+02,5.56E+01,1.64E+02
6,99.9665,-73.2713,4.22E+00,1.38E+02,5.81E+01,1.58E+02
7,99.977,-66.6087,4.39E+00,1.31E+02,6.06E+01,1.50E+02
8,99.9881,-59.9471,4.54E+00,1.24E+02,6.31E+01,1.42E+02
9,99.9992,-53.2863,4.68E+00,1.17E+02,6.55E+01,1.34E+02
10,100.01,-46.6259,4.80E+00,1.10E+02,6.78E+01,1.26E+02
11,100.02,-39.9656,4.90E+00,1.05E+02,7.01E+01,1.19E+02
12,100.028,-33.3053,4.99E+00,9.97E+01,7.25E+01,1.12E+02
13,100.036,-26.6449,5.06E+00,9.57E+01,7.48E+01,1.05E+02
14,100.041,-19.9843,5.12E+00,9.24E+01,7.73E+01,9.86E+01
15,100.045,-13.3236,5.16E+00,8.98E+01,7.98E+01,9.24E+01
16,100.048,-6.66289,5.18E+00,8.77E+01,8.25E+01,8.65E+01
17,100.048,-0.00208364,5.19E+00,8.60E+01,8.55E+01,8.07E+01
18,100.047,6.65869,5.18E+00,8.46E+01,8.87E+01,7.51E+01
19,100.044,13.3194,5.15E+00,8.34E+01,9.24E+01,6.96E+01
20,100.039,19.9799,5.11E+00,8.24E+01,9.65E+01,6.43E+01
21,100.032,26.6402,5.05E+00,8.15E+01,1.01E+02,5.91E+01
22,100.024,33.3004,4.97E+00,8.06E+01,1.06E+02,5.40E+01
23,100.015,39.9604,4.88E+00,7.97E+01,1.12E+02,4.90E+01
24,100.004,46.6204,4.77E+00,7.88E+01,1.19E+02,4.41E+01
25,99.993,53.2805,4.64E+00,7.77E+01,1.27E+02,3.93E+01
26,99.9814,59.941,4.50E+00,7.64E+01,1.35E+02,3.45E+01
27,99.9698,66.6022,4.35E+00,7.50E+01,1.43E+02,3.00E+01
28,99.959,73.2645,4.18E+00,7.33E+01,1.50E+02,2.56E+01
29,99.9495,79.9285,3.99E+00,7.14E+01,1.57E+02,2.15E+01
30,99.9419,86.5946,3.79E+00,6.94E+01,1.61E+02,1.80E+01
31,99.9367,93.263,3.57E+00,6.74E+01,1.62E+02,1.53E+01
32,99.9342,99.934,3.33E+00,6.55E+01,1.60E+02,1.36E+01
33,93.2628,99.9361,3.57E+00,6.73E+01,1.63E+02,1.52E+01
