NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9961,-99.9961,1.42E+00,1.72E+01,8.45E+00,2.50E+01
3,99.9972,-93.3287,1.52E+00,1.74E+01,8.75E+00,2.53E+01
4,99.9986,-86.6618,1.61E+00,1.73E+01,9.07E+00,2.53E+01
5,100,-79.995,1.69E+00,1.69E+01,9.41E+00,2.49E+01
6,100.002,-73.3285,1.78E+00,1.63E+01,9.77E+00,2.41E+01
7,100.004,-66.6623,1.85E+00,1.55E+01,1.01E+01,2.32E+01
8,100.006,-59.9962,1.92E+00,1.47E+01,1.05E+01,2.20E+01
9,100.009,-53.3301,1.99E+00,1.40E+01,1.09E+01,2.07E+01
10,100.011,-46.6642,2.04E+00,1.34E+01,1.12E+01,1.92E+01
11,100.013,-39.9981,2.09E+00,1.31E+01,1.15E+01,1.77E+01
12,100.015,-33.3319,2.13E+00,1.30E+01,1.18E+01,1.61E+01
13,100.016,-26.6658,2.17E+00,1.31E+01,1.20E+01,1.44E+01
14,100.017,-19.9995,2.19E+00,1.33E+01,1.21E+01,1.27E+01
15,100.017,-13.3332,2.20E+00,1.36E+01,1.23E+01,1.11E+01
16,100.017,-6.66696,2.20E+00,1.40E+01,1.24E+01,9.52E+00
17,100.017,-0.000750464,2.20E+00,1.42E+01,1.26E+01,8.12E+00
18,100.016,6.66538,2.18E+00,1.44E+01,1.29E+01,6.86E+00
19,100.015,13.3314,2.15E+00,1.46E+01,1.33E+01,5.75E+00
20,100.014,19.9974,2.12E+00,1.47E+01,1.39E+01,4.77E+00
21,100.012,26.6633,2.08E+00,1.47E+01,1.45E+01,3.94E+00
22,100.01,33.3291,2.04E+00,1.47E+01,1.53E+01,3.31E+00
23,100.008,39.9949,1.98E+00,1.47E+01,1.62E+01,2.92E+00
24,100.006,46.6607,1.93E+00,1.46E+01,1.72E+01,2.80E+00
25,100.003,53.3265,1.86E+00,1.45E+01,1.82E+01,2.94E+00
26,100.001,59.9924,1.80E+00,1.43E+01,1.93E+01,3.25E+00
